Année,Juridiction,Dépenses en immobilisations et réparations,Mesure,Valeur (1 000 dollars)
2006,Canada,Immobilisations,Foresterie et exploitation forestière,282900
2006,Canada,Immobilisations,Fabrication du papier,1086600
2006,Canada,Immobilisations,Fabrication de produits en bois,1299600
2006,Canada,Réparations,Foresterie et exploitation forestière,409400
2006,Canada,Réparations,Fabrication du papier,1691100
2006,Canada,Réparations,Fabrication de produits en bois,1383700
2007,Canada,Immobilisations,Foresterie et exploitation forestière,168800
2007,Canada,Immobilisations,Fabrication du papier,1058600
2007,Canada,Immobilisations,Fabrication de produits en bois,942400
2007,Canada,Réparations,Foresterie et exploitation forestière,344300
2007,Canada,Réparations,Fabrication du papier,1554500
2007,Canada,Réparations,Fabrication de produits en bois,1237100
2008,Canada,Immobilisations,Foresterie et exploitation forestière,206000
2008,Canada,Immobilisations,Fabrication du papier,942200
2008,Canada,Immobilisations,Fabrication de produits en bois,713000
2008,Canada,Réparations,Foresterie et exploitation forestière,334800
2008,Canada,Réparations,Fabrication du papier,1485700
2008,Canada,Réparations,Fabrication de produits en bois,1167100
2009,Canada,Immobilisations,Foresterie et exploitation forestière,140300
2009,Canada,Immobilisations,Fabrication du papier,500000
2009,Canada,Immobilisations,Fabrication de produits en bois,398300
2009,Canada,Réparations,Foresterie et exploitation forestière,408500
2009,Canada,Réparations,Fabrication du papier,1356200
2009,Canada,Réparations,Fabrication de produits en bois,964900
2010,Canada,Immobilisations,Foresterie et exploitation forestière,168300
2010,Canada,Immobilisations,Fabrication du papier,566500
2010,Canada,Immobilisations,Fabrication de produits en bois,610400
2010,Canada,Réparations,Foresterie et exploitation forestière,324300
2010,Canada,Réparations,Fabrication du papier,1388100
2010,Canada,Réparations,Fabrication de produits en bois,870300
2011,Canada,Immobilisations,Foresterie et exploitation forestière,190400
2011,Canada,Immobilisations,Fabrication du papier,952100
2011,Canada,Immobilisations,Fabrication de produits en bois,409600
2011,Canada,Réparations,Foresterie et exploitation forestière,259300
2011,Canada,Réparations,Fabrication du papier,1444100
2011,Canada,Réparations,Fabrication de produits en bois,902700
2012,Canada,Immobilisations,Foresterie et exploitation forestière,258400
2012,Canada,Immobilisations,Fabrication du papier,896400
2012,Canada,Immobilisations,Fabrication de produits en bois,276200
2012,Canada,Réparations,Foresterie et exploitation forestière,381400
2012,Canada,Réparations,Fabrication du papier,1702000
2012,Canada,Réparations,Fabrication de produits en bois,627600
2013,Canada,Immobilisations,Foresterie et exploitation forestière,308400
2013,Canada,Immobilisations,Fabrication du papier,839800
2013,Canada,Immobilisations,Fabrication de produits en bois,702800
2013,Canada,Réparations,Foresterie et exploitation forestière,434600
2013,Canada,Réparations,Fabrication du papier,1088900
2013,Canada,Réparations,Fabrication de produits en bois,914200
2014,Canada,Immobilisations,Foresterie et exploitation forestière,413000
2014,Canada,Immobilisations,Fabrication du papier,971300
2014,Canada,Immobilisations,Fabrication de produits en bois,1021600
2014,Canada,Réparations,Foresterie et exploitation forestière,513800
2014,Canada,Réparations,Fabrication du papier,1265200
2014,Canada,Réparations,Fabrication de produits en bois,912300
2015,Canada,Immobilisations,Foresterie et exploitation forestière,462900
2015,Canada,Immobilisations,Fabrication du papier,852600
2015,Canada,Immobilisations,Fabrication de produits en bois,1260700
2015,Canada,Réparations,Foresterie et exploitation forestière,383900
2015,Canada,Réparations,Fabrication du papier,1388400
2015,Canada,Réparations,Fabrication de produits en bois,965800
2016,Canada,Immobilisations,Foresterie et exploitation forestière,508400
2016,Canada,Immobilisations,Fabrication du papier,727100
2016,Canada,Immobilisations,Fabrication de produits en bois,822700
2016,Canada,Réparations,Foresterie et exploitation forestière,428400
2016,Canada,Réparations,Fabrication du papier,1204900
2016,Canada,Réparations,Fabrication de produits en bois,1100900
2017,Canada,Immobilisations,Foresterie et exploitation forestière,456100
2017,Canada,Immobilisations,Fabrication du papier,799300
2017,Canada,Immobilisations,Fabrication de produits en bois,792300
2017,Canada,Réparations,Foresterie et exploitation forestière,411000
2017,Canada,Réparations,Fabrication du papier,1051400
2017,Canada,Réparations,Fabrication de produits en bois,1018200
2018,Canada,Immobilisations,Foresterie et exploitation forestière,581600
2018,Canada,Immobilisations,Fabrication du papier,840300
2018,Canada,Immobilisations,Fabrication de produits en bois,1136600
2018,Canada,Réparations,Foresterie et exploitation forestière,515500
2018,Canada,Réparations,Fabrication du papier,1251800
2018,Canada,Réparations,Fabrication de produits en bois,1069100
2019,Canada,Immobilisations,Foresterie et exploitation forestière,553700
2019,Canada,Immobilisations,Fabrication du papier,998100
2019,Canada,Immobilisations,Fabrication de produits en bois,1155000
2019,Canada,Réparations,Foresterie et exploitation forestière,524200
2019,Canada,Réparations,Fabrication du papier,1263700
2019,Canada,Réparations,Fabrication de produits en bois,1241600
2020,Canada,Immobilisations,Foresterie et exploitation forestière,500400
2020,Canada,Immobilisations,Fabrication du papier,1071500
2020,Canada,Immobilisations,Fabrication de produits en bois,908600
2020,Canada,Réparations,Foresterie et exploitation forestière,517400
2020,Canada,Réparations,Fabrication du papier,1124700
2020,Canada,Réparations,Fabrication de produits en bois,1151700
2021,Canada,Immobilisations,Foresterie et exploitation forestière,0
2021,Canada,Immobilisations,Fabrication du papier,986100
2021,Canada,Immobilisations,Fabrication de produits en bois,1248900
2021,Canada,Réparations,Foresterie et exploitation forestière,0
2021,Canada,Réparations,Fabrication du papier,1452100
2021,Canada,Réparations,Fabrication de produits en bois,1189600
2022,Canada,Immobilisations,Foresterie et exploitation forestière,815900
2022,Canada,Immobilisations,Fabrication du papier,1004400
2022,Canada,Immobilisations,Fabrication de produits en bois,1355700
2022,Canada,Réparations,Foresterie et exploitation forestière,491100
2022,Canada,Réparations,Fabrication du papier,1402200
2022,Canada,Réparations,Fabrication de produits en bois,1264300
2023,Canada,Immobilisations,Foresterie et exploitation forestière,747800
2023,Canada,Immobilisations,Fabrication du papier,1381200
2023,Canada,Immobilisations,Fabrication de produits en bois,1509600
2023,Canada,Réparations,Foresterie et exploitation forestière,519100
2023,Canada,Réparations,Fabrication du papier,1836200
2023,Canada,Réparations,Fabrication de produits en bois,1231800
2024,Canada,Immobilisations,Foresterie et exploitation forestière,672800
2024,Canada,Immobilisations,Fabrication du papier,1322100
2024,Canada,Immobilisations,Fabrication de produits en bois,0
