Année,Juridiction,Superficie (en hectare)
2000,Canada,5285000
2000,Alberta,2175000
2000,Colombie-Britannique,2372508
2000,Manitoba,0
2000,Nouveau-Brunswick,715000
2000,Terre-Neuve-et-Labrador,0
2000,Territoires du Nord-Ouest,0
2000,Nouvelle-Écosse,0
2000,Nunavut,0
2000,Ontario,22154
2000,Île-du-Prince-Édouard,0
2000,Québec,0
2000,Saskatchewan,0
2000,Yukon,0
2001,Canada,17173253
2001,Alberta,3540000
2001,Colombie-Britannique,9895846
2001,Manitoba,0
2001,Nouveau-Brunswick,2450000
2001,Terre-Neuve-et-Labrador,0
2001,Territoires du Nord-Ouest,0
2001,Nouvelle-Écosse,1260384
2001,Nunavut,0
2001,Ontario,27023
2001,Île-du-Prince-Édouard,0
2001,Québec,0
2001,Saskatchewan,0
2001,Yukon,0
2002,Canada,28220593
2002,Alberta,3540000
2002,Colombie-Britannique,14919680
2002,Manitoba,0
2002,Nouveau-Brunswick,2450000
2002,Terre-Neuve-et-Labrador,0
2002,Territoires du Nord-Ouest,0
2002,Nouvelle-Écosse,1400384
2002,Nunavut,0
2002,Ontario,913465
2002,Île-du-Prince-Édouard,0
2002,Québec,27064
2002,Saskatchewan,4940000
2002,Yukon,0
2003,Canada,58392457
2003,Alberta,5205000
2003,Colombie-Britannique,22040841
2003,Manitoba,5770000
2003,Nouveau-Brunswick,3680984
2003,Terre-Neuve-et-Labrador,180000
2003,Territoires du Nord-Ouest,0
2003,Nouvelle-Écosse,1635384
2003,Nunavut,0
2003,Ontario,8213184
2003,Île-du-Prince-Édouard,0
2003,Québec,5107064
2003,Saskatchewan,4940000
2003,Yukon,0
2004,Canada,86468821
2004,Alberta,12050000
2004,Colombie-Britannique,30380378
2004,Manitoba,10580000
2004,Nouveau-Brunswick,4741385
2004,Terre-Neuve-et-Labrador,3790000
2004,Territoires du Nord-Ouest,0
2004,Nouvelle-Écosse,1252400
2004,Nunavut,0
2004,Ontario,13216438
2004,Île-du-Prince-Édouard,0
2004,Québec,6587064
2004,Saskatchewan,4940000
2004,Yukon,0
2005,Canada,119765281
2005,Alberta,17392735
2005,Colombie-Britannique,42140519
2005,Manitoba,10576341
2005,Nouveau-Brunswick,3934095
2005,Terre-Neuve-et-Labrador,3792813
2005,Territoires du Nord-Ouest,0
2005,Nouvelle-Écosse,1732373
2005,Nunavut,0
2005,Ontario,21848689
2005,Île-du-Prince-Édouard,0
2005,Québec,11683654
2005,Saskatchewan,6664062
2005,Yukon,0
2006,Canada,123753226
2006,Alberta,17423542
2006,Colombie-Britannique,42568766
2006,Manitoba,10576341
2006,Nouveau-Brunswick,4011875
2006,Terre-Neuve-et-Labrador,3687563
2006,Territoires du Nord-Ouest,0
2006,Nouvelle-Écosse,1732725
2006,Nunavut,0
2006,Ontario,21600640
2006,Île-du-Prince-Édouard,0
2006,Québec,15229712
2006,Saskatchewan,6922062
2006,Yukon,0
2007,Canada,137886117
2007,Alberta,17608999
2007,Colombie-Britannique,51506667
2007,Manitoba,11472909
2007,Nouveau-Brunswick,4304934
2007,Terre-Neuve-et-Labrador,3687563
2007,Territoires du Nord-Ouest,0
2007,Nouvelle-Écosse,1413411
2007,Nunavut,0
2007,Ontario,26324043
2007,Île-du-Prince-Édouard,435
2007,Québec,17729156
2007,Saskatchewan,3838000
2007,Yukon,0
2008,Canada,145748861
2008,Alberta,21402911
2008,Colombie-Britannique,54133295
2008,Manitoba,11713509
2008,Nouveau-Brunswick,4086472
2008,Terre-Neuve-et-Labrador,3739256
2008,Territoires du Nord-Ouest,0
2008,Nouvelle-Écosse,1615023
2008,Nunavut,0
2008,Ontario,26287730
2008,Île-du-Prince-Édouard,357
2008,Québec,18900314
2008,Saskatchewan,3869964
2008,Yukon,0
2009,Canada,142782131
2009,Alberta,19935787
2009,Colombie-Britannique,56276920
2009,Manitoba,11705655
2009,Nouveau-Brunswick,4084507
