Année,Juridiction,Superficie (en hectare)
2000,Canada,1076845
2000,Alberta,73488
2000,Colombie-Britannique,212563
2000,Manitoba,15633
2000,Nouveau-Brunswick,113414
2000,Terre-Neuve-et-Labrador,23216
2000,Territoires du Nord-Ouest,3
2000,Nouvelle-Écosse,54433
2000,Nunavut,0
2000,Ontario,213260
2000,Île-du-Prince-Édouard,5522
2000,Québec,344137
2000,Saskatchewan,21169
2000,Yukon,7
2001,Canada,1042877
2001,Alberta,79357
2001,Colombie-Britannique,196613
2001,Manitoba,14849
2001,Nouveau-Brunswick,103460
2001,Terre-Neuve-et-Labrador,22980
2001,Territoires du Nord-Ouest,2
2001,Nouvelle-Écosse,53226
2001,Nunavut,0
2001,Ontario,220607
2001,Île-du-Prince-Édouard,4903
2001,Québec,323609
2001,Saskatchewan,23222
2001,Yukon,49
2002,Canada,1052556
2002,Alberta,81965
2002,Colombie-Britannique,221525
2002,Manitoba,15042
2002,Nouveau-Brunswick,98567
2002,Terre-Neuve-et-Labrador,22000
2002,Territoires du Nord-Ouest,9
2002,Nouvelle-Écosse,49704
2002,Nunavut,0
2002,Ontario,194941
2002,Île-du-Prince-Édouard,4627
2002,Québec,339064
2002,Saskatchewan,25070
2002,Yukon,42
2003,Canada,1039289
2003,Alberta,79707
2003,Colombie-Britannique,218315
2003,Manitoba,15584
2003,Nouveau-Brunswick,99972
2003,Terre-Neuve-et-Labrador,22110
2003,Territoires du Nord-Ouest,31
2003,Nouvelle-Écosse,52939
2003,Nunavut,0
2003,Ontario,231217
2003,Île-du-Prince-Édouard,5754
2003,Québec,284563
2003,Saskatchewan,29053
2003,Yukon,44
2004,Canada,1054935
2004,Alberta,79979
2004,Colombie-Britannique,225300
2004,Manitoba,17528
2004,Nouveau-Brunswick,98329
2004,Terre-Neuve-et-Labrador,22867
2004,Territoires du Nord-Ouest,51
2004,Nouvelle-Écosse,59550
2004,Nunavut,0
2004,Ontario,210226
2004,Île-du-Prince-Édouard,5495
2004,Québec,306321
