Année,Juridiction,Superficie (en hectare)
2000,Canada,459872
2000,Alberta,60048
2000,Colombie-Britannique,161809
2000,Manitoba,9059
2000,Nouveau-Brunswick,16529
2000,Terre-Neuve-et-Labrador,4035
2000,Territoires du Nord-Ouest,204
2000,Nouvelle-Écosse,10829
2000,Nunavut,0
2000,Ontario,93664
2000,Île-du-Prince-Édouard,1131
2000,Québec,89635
2000,Saskatchewan,12352
2000,Yukon,577
2001,Canada,476450
2001,Alberta,61910
2001,Colombie-Britannique,165415
2001,Manitoba,9011
2001,Nouveau-Brunswick,16223
2001,Terre-Neuve-et-Labrador,4615
2001,Territoires du Nord-Ouest,84
2001,Nouvelle-Écosse,12480
2001,Nunavut,0
2001,Ontario,97151
2001,Île-du-Prince-Édouard,1657
2001,Québec,94861
2001,Saskatchewan,12609
2001,Yukon,434
2002,Canada,448566
2002,Alberta,56244
2002,Colombie-Britannique,153085
2002,Manitoba,8334
2002,Nouveau-Brunswick,18049
2002,Terre-Neuve-et-Labrador,4831
2002,Territoires du Nord-Ouest,81
2002,Nouvelle-Écosse,11615
2002,Nunavut,0
2002,Ontario,93615
2002,Île-du-Prince-Édouard,824
2002,Québec,87979
2002,Saskatchewan,13599
2002,Yukon,310
2003,Canada,436873
2003,Alberta,58304
2003,Colombie-Britannique,157340
2003,Manitoba,8077
2003,Nouveau-Brunswick,22968
2003,Terre-Neuve-et-Labrador,5014
2003,Territoires du Nord-Ouest,59
2003,Nouvelle-Écosse,13945
2003,Nunavut,0
2003,Ontario,84395
2003,Île-du-Prince-Édouard,927
2003,Québec,73701
2003,Saskatchewan,12143
2003,Yukon,0
2004,Canada,441368
2004,Alberta,60586
2004,Colombie-Britannique,153913
2004,Manitoba,6865
2004,Nouveau-Brunswick,23506
2004,Terre-Neuve-et-Labrador,5816
2004,Territoires du Nord-Ouest,29
2004,Nouvelle-Écosse,12334
2004,Nunavut,0
2004,Ontario,86656
2004,Île-du-Prince-Édouard,1040
2004,Québec,75366
2004,Saskatchewan,15257
2004,Yukon,0
2005,Canada,473709
2005,Alberta,71967
2005,Colombie-Britannique,175054
2005,Manitoba,8450
2005,Nouveau-Brunswick,23097
2005,Terre-Neuve-et-Labrador,6381
2005,Territoires du Nord-Ouest,19
2005,Nouvelle-Écosse,13462
2005,Nunavut,0
2005,Ontario,85862
2005,Île-du-Prince-Édouard,800
2005,Québec,72775
2005,Saskatchewan,15842
2005,Yukon,0
2006,Canada,492056
2006,Alberta,63112
2006,Colombie-Britannique,195304
2006,Manitoba,8417
2006,Nouveau-Brunswick,22605
2006,Terre-Neuve-et-Labrador,5319
2006,Territoires du Nord-Ouest,19
2006,Nouvelle-Écosse,11487
2006,Nunavut,0
2006,Ontario,82615
2006,Île-du-Prince-Édouard,696
2006,Québec,83508
2006,Saskatchewan,18920
2006,Yukon,54
2007,Canada,492825
2007,Alberta,71682
2007,Colombie-Britannique,202696
2007,Manitoba,7001
2007,Nouveau-Brunswick,22289
2007,Terre-Neuve-et-Labrador,6743
2007,Territoires du Nord-Ouest,7
2007,Nouvelle-Écosse,9748
2007,Nunavut,0
2007,Ontario,74861
2007,Île-du-Prince-Édouard,759
2007,Québec,81696
2007,Saskatchewan,15293
2007,Yukon,50
2008,Canada,454739
2008,Alberta,55953
2008,Colombie-Britannique,193358
2008,Manitoba,9565
2008,Nouveau-Brunswick,21434
2008,Terre-Neuve-et-Labrador,6130
2008,Territoires du Nord-Ouest,27
2008,Nouvelle-Écosse,8345
2008,Nunavut,0
2008,Ontario,63349
2008,Île-du-Prince-Édouard,570
2008,Québec,80680
2008,Saskatchewan,15293
2008,Yukon,35
2009,Canada,405176
2009,Alberta,51141
2009,Colombie-Britannique,164104
2009,Manitoba,9565
2009,Nouveau-Brunswick,20563
2009,Terre-Neuve-et-Labrador,5156
2009,Territoires du Nord-Ouest,27
2009,Nouvelle-Écosse,14694
2009,Nunavut,0
2009,Ontario,59335
2009,Île-du-Prince-Édouard,470
2009,Québec,78698
2009,Saskatchewan,1388
2009,Yukon,35
2010,Canada,392419
2010,Alberta,54964
2010,Colombie-Britannique,145647
2010,Manitoba,6367
2010,Nouveau-Brunswick,19579
2010,Terre-Neuve-et-Labrador,5526
2010,Territoires du Nord-Ouest,27
2010,Nouvelle-Écosse,8883
2010,Nunavut,0
2010,Ontario,44709
2010,Île-du-Prince-Édouard,283
