Année,Juridiction,Superficie (en hectare)
2000,Canada,20136
2000,Alberta,974
2000,Colombie-Britannique,397
2000,Manitoba,550
2000,Nouveau-Brunswick,0
2000,Terre-Neuve-et-Labrador,0
2000,Territoires du Nord-Ouest,0
2000,Nouvelle-Écosse,532
2000,Nunavut,0
2000,Ontario,17547
2000,Île-du-Prince-Édouard,0
2000,Québec,136
2000,Saskatchewan,0
2000,Yukon,0
2001,Canada,21373
2001,Alberta,1284
2001,Colombie-Britannique,113
2001,Manitoba,956
2001,Nouveau-Brunswick,0
2001,Terre-Neuve-et-Labrador,0
2001,Territoires du Nord-Ouest,0
2001,Nouvelle-Écosse,0
2001,Nunavut,0
2001,Ontario,19020
2001,Île-du-Prince-Édouard,0
2001,Québec,0
2001,Saskatchewan,0
2001,Yukon,0
2002,Canada,18903
2002,Alberta,1443
2002,Colombie-Britannique,0
2002,Manitoba,0
2002,Nouveau-Brunswick,0
2002,Terre-Neuve-et-Labrador,0
2002,Territoires du Nord-Ouest,0
2002,Nouvelle-Écosse,0
2002,Nunavut,0
2002,Ontario,17444
2002,Île-du-Prince-Édouard,0
2002,Québec,16
2002,Saskatchewan,0
2002,Yukon,0
2003,Canada,46076
2003,Alberta,3620
2003,Colombie-Britannique,26
2003,Manitoba,0
2003,Nouveau-Brunswick,0
2003,Terre-Neuve-et-Labrador,0
2003,Territoires du Nord-Ouest,0
2003,Nouvelle-Écosse,0
2003,Nunavut,0
2003,Ontario,42419
2003,Île-du-Prince-Édouard,0
2003,Québec,11
2003,Saskatchewan,0
2003,Yukon,0
2004,Canada,21729
2004,Alberta,1691
2004,Colombie-Britannique,1
2004,Manitoba,0
2004,Nouveau-Brunswick,0
2004,Terre-Neuve-et-Labrador,0
2004,Territoires du Nord-Ouest,0
2004,Nouvelle-Écosse,0
2004,Nunavut,0
2004,Ontario,19783
2004,Île-du-Prince-Édouard,0
2004,Québec,254
2004,Saskatchewan,0
2004,Yukon,0
2005,Canada,19481
2005,Alberta,960
2005,Colombie-Britannique,0
2005,Manitoba,0
2005,Nouveau-Brunswick,0
2005,Terre-Neuve-et-Labrador,0
2005,Territoires du Nord-Ouest,0
2005,Nouvelle-Écosse,0
2005,Nunavut,0
2005,Ontario,17944
2005,Île-du-Prince-Édouard,0
2005,Québec,350
2005,Saskatchewan,227
2005,Yukon,0
2006,Canada,20500
2006,Alberta,11
2006,Colombie-Britannique,0
2006,Manitoba,0
2006,Nouveau-Brunswick,0
2006,Terre-Neuve-et-Labrador,0
2006,Territoires du Nord-Ouest,0
2006,Nouvelle-Écosse,0
2006,Nunavut,0
2006,Ontario,19855
2006,Île-du-Prince-Édouard,0
2006,Québec,634
2006,Saskatchewan,0
2006,Yukon,0
2007,Canada,34546
2007,Alberta,775
2007,Colombie-Britannique,0
2007,Manitoba,0
2007,Nouveau-Brunswick,0
2007,Terre-Neuve-et-Labrador,53
2007,Territoires du Nord-Ouest,0
2007,Nouvelle-Écosse,0
2007,Nunavut,0
2007,Ontario,33079
2007,Île-du-Prince-Édouard,0
2007,Québec,589
2007,Saskatchewan,0
2007,Yukon,50
2008,Canada,20623
2008,Alberta,595
2008,Colombie-Britannique,26
2008,Manitoba,314
2008,Nouveau-Brunswick,0
2008,Terre-Neuve-et-Labrador,73
2008,Territoires du Nord-Ouest,0
2008,Nouvelle-Écosse,0
2008,Nunavut,0
2008,Ontario,18980
2008,Île-du-Prince-Édouard,0
2008,Québec,600
2008,Saskatchewan,0
2008,Yukon,35
2009,Canada,15938
2009,Alberta,1074
2009,Colombie-Britannique,1
2009,Manitoba,314
