Année,Juridiction,"Marché d'exportation",Valeur (en dollars)
2000,Canada,Afrique,36157187
2000,Canada,Chine,648839044
2000,Canada,Union européenne,3869675367
2000,Canada,Inde,172059229
2000,Canada,Japon,3535494151
2000,Canada,Moyen-Orient,256294620
2000,Canada,Océanie,227963101
2000,Canada,Autre,896097955
2000,Canada,Amérique du Sud et Amérique centrale,776179882
2000,Canada,Corée du Sud,689817193
2000,Canada,Taïwan,339684328
2000,Canada,États-Unis,36272393177
2001,Canada,Afrique,30672286
2001,Canada,Chine,655770766
2001,Canada,Union européenne,2962037138
2001,Canada,Inde,166317854
2001,Canada,Japon,2792716768
2001,Canada,Moyen-Orient,262373030
2001,Canada,Océanie,133356915
2001,Canada,Autre,558734377
2001,Canada,Amérique du Sud et Amérique centrale,853170929
2001,Canada,Corée du Sud,466961948
2001,Canada,Taïwan,269561908
2001,Canada,États-Unis,35624431318
2002,Canada,Afrique,34605910
2002,Canada,Chine,772944921
2002,Canada,Union européenne,2828561336
2002,Canada,Inde,154513206
2002,Canada,Japon,2510343247
2002,Canada,Moyen-Orient,216123339
2002,Canada,Océanie,171225866
2002,Canada,Autre,579176841
2002,Canada,Amérique du Sud et Amérique centrale,696160188
2002,Canada,Corée du Sud,554610370
2002,Canada,Taïwan,253630886
2002,Canada,États-Unis,34432478691
2003,Canada,Afrique,46664672
2003,Canada,Chine,974656821
2003,Canada,Union européenne,2723126934
2003,Canada,Inde,239210993
2003,Canada,Japon,2209053421
2003,Canada,Moyen-Orient,245513683
2003,Canada,Océanie,187158179
2003,Canada,Autre,591322111
2003,Canada,Amérique du Sud et Amérique centrale,626834483
2003,Canada,Corée du Sud,569480137
2003,Canada,Taïwan,301765471
2003,Canada,États-Unis,31074654998
2004,Canada,Afrique,47269879
2004,Canada,Chine,1185440409
2004,Canada,Union européenne,2570760498
2004,Canada,Inde,249726339
2004,Canada,Japon,2388357920
2004,Canada,Moyen-Orient,334842127
2004,Canada,Océanie,201856389
2004,Canada,Autre,626047581
2004,Canada,Amérique du Sud et Amérique centrale,718567159
2004,Canada,Corée du Sud,540401495
2004,Canada,Taïwan,328456610
2004,Canada,États-Unis,35596777483
2005,Canada,Afrique,44436651
2005,Canada,Chine,1026726403
2005,Canada,Union européenne,2345238832
2005,Canada,Inde,281816282
2005,Canada,Japon,1849698763
2005,Canada,Moyen-Orient,461372924
2005,Canada,Océanie,140779368
2005,Canada,Autre,548970213
2005,Canada,Amérique du Sud et Amérique centrale,737770578
2005,Canada,Corée du Sud,443780441
2005,Canada,Taïwan,281251735
2005,Canada,États-Unis,33959931053
2006,Canada,Afrique,68897052
2006,Canada,Chine,1277912428
2006,Canada,Union européenne,1906877965
2006,Canada,Inde,332259608
2006,Canada,Japon,1856010515
2006,Canada,Moyen-Orient,438783399
2006,Canada,Océanie,138776286
2006,Canada,Autre,547089773
2006,Canada,Amérique du Sud et Amérique centrale,928927505
2006,Canada,Corée du Sud,500203162
2006,Canada,Taïwan,341124545
2006,Canada,États-Unis,29999229440
2007,Canada,Afrique,70222409
2007,Canada,Chine,1695345774
2007,Canada,Union européenne,2167194020
2007,Canada,Inde,278549196
2007,Canada,Japon,1509495939
2007,Canada,Moyen-Orient,565233252
2007,Canada,Océanie,173165437
2007,Canada,Autre,606954018
2007,Canada,Amérique du Sud et Amérique centrale,878556425
2007,Canada,Corée du Sud,559659225
2007,Canada,Taïwan,345393534
2007,Canada,États-Unis,24878507012
2008,Canada,Afrique,102034252
2008,Canada,Chine,1659974205
2008,Canada,Union européenne,1838532479
2008,Canada,Inde,375262855
2008,Canada,Japon,1435600019
2008,Canada,Moyen-Orient,738940747
2008,Canada,Océanie,173757782
2008,Canada,Autre,699682107
2008,Canada,Amérique du Sud et Amérique centrale,961956896
2008,Canada,Corée du Sud,498416632
2008,Canada,Taïwan,320935092
2008,Canada,États-Unis,21389719671
2009,Canada,Afrique,69919040
2009,Canada,Chine,1865768756
2009,Canada,Union européenne,1301306183
2009,Canada,Inde,197936750
2009,Canada,Japon,1094574667
2009,Canada,Moyen-Orient,423818490
2009,Canada,Océanie,129358793
