Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Quantité
2000,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),3095881
2000,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),64612
2000,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),8723185
2000,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),7113947
2000,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",11902994
2000,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1471657
2000,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),6931935
2000,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),1112095
2000,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),949976
2000,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",48791008
2000,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),298341756
2001,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),3388601
2001,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),28519
2001,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),8023335
2001,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),6916576
2001,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",11506198
2001,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1325462
2001,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),7311173
2001,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),2336572
2001,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1036154
2001,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",48898654
2001,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),304068835
2002,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),4529705
2002,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),80553
2002,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),8140632
2002,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),7167537
2002,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",12117438
2002,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1436471
2002,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),7481767
2002,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),1273016
2002,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1060480
2002,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",49969486
2002,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),303718778
2003,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),4470288
2003,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),143572
2003,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),8288872
2003,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),7217899
2003,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",11526208
2003,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1407107
2003,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),7926013
2003,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),1307755
2003,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1024126
2003,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",50839163
2003,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),335895111
2004,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),3883719
2004,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),180123
2004,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),7705379
2004,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),8186001
2004,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",11513726
2004,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1376274
2004,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),8556784
2004,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),1204498
2004,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1039517
2004,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",55066473
2004,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),420928614
2005,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),5099567
2005,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),274313
2005,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),7323951
2005,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),8192797
2005,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",10659464
2005,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1361963
2005,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),8778441
2005,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),1060371
2005,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1137724
2005,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",55307063
2005,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),419980400
2006,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),4619162
2006,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),145733
2006,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),6703809
2006,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),7601664
2006,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",10898318
2006,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1085732
2006,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),8927028
2006,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),788745
2006,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),971974
2006,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",52634836
2006,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),382653692
2007,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),3522411
2007,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),144698
2007,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),6030298
2007,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),7318826
2007,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",10619520
2007,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),727279
2007,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),6522023
2007,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),786026
2007,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),779176
2007,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",44968335
2007,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),263758208
2008,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),2721224
2008,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),178354
2008,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),5762374
2008,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),6623475
2008,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9604248
2008,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),488724
2008,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),3541892
2008,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),650985
2008,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),621192
2008,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",32960650
2008,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),207008524
2009,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),2683051
2009,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),184525
2009,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),3754982
2009,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),5650784
2009,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",8278920
2009,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),343401
2009,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),2696932
2009,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),571826
2009,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),321964
2009,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",25941267
2009,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),162101104
2010,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),3879772
2010,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),223701
2010,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),4228570
2010,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),5344430
2010,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9316119
2010,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),512124
2010,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),2890709
2010,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),701504
2010,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),305393
2010,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",30364279
2010,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),163966657
2011,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),5444470
2011,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),325037
2011,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),4168773
2011,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4967033
2011,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9675844
2011,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),377807
2011,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),3073596
2011,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),686493
2011,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),379849
2011,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",33090348
2011,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),183989118
2012,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),5787769
2012,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),418645
2012,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),3496637
2012,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4438947
2012,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9914534
2012,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),485535
2012,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),3379798
2012,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),812408
2012,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),307041
2012,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",34559634
2012,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),209426290
2013,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),6938874
2013,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),183598
2013,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),3657892
2013,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4637668
2013,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9826635
2013,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),469970
2013,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),3892438
2013,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),878791
2013,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),439759
2013,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",38274919
2013,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),222688674
2014,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),6563589
2014,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),264013
2014,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),3846864
2014,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4610272
2014,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9680200
2014,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),569591
2014,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),4403689
2014,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),874778
2014,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),499342
2014,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",40005621
2014,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),229861606
2015,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),5937296
2015,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),279210
2015,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),3314038
2015,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4352549
2015,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9922085
2015,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),531726
2015,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),4792022
2015,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),917963
2015,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),556815
2015,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",41352636
2015,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),253960990
2016,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),6794828
2016,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),392457
2016,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),3106995
2016,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4182241
2016,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9903829
2016,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),535211
2016,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),5438426
2016,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),944975
2016,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),659889
2016,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",45317270
2016,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),224168390
2017,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),6435125
2017,Canada,Exportations,Produits bruts du bois,Bois à pâte (mètres cubes),422253
2017,Canada,Exportations,Produits de pâtes et papiers,Papier journal (tonnes),2855993
2017,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),4414774
2017,Canada,Exportations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",9922618
2017,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),586163
2017,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),5937306
2017,Canada,Exportations,Produits fabriqués en bois,Panneau de particules (mètres cubes),889894
2017,Canada,Exportations,Produits fabriqués en bois,Contreplaqué (mètres cubes),694314
2017,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",43120555
2017,Canada,Exportations,Produits fabriqués en bois,Placage (mètres carrés),261124754
2018,Canada,Exportations,Produits bruts du bois,Grumes (mètres cubes),6423513
