Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Valeur (en dollars)
2000,Canada,Exportations,Produits bruts du bois,Grumes,482583486
2000,Canada,Exportations,Produits bruts du bois,Bois à pâte,5345182
2000,Canada,Exportations,Produits de pâtes et papiers,Papier journal,7210037133
2000,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,7412225695
2000,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,9890681681
2000,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,694995830
2000,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2022081393
2000,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,294133010
2000,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,550019607
2000,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",11590643605
2000,Canada,Exportations,Produits fabriqués en bois,Placage,430858987
2001,Canada,Exportations,Produits bruts du bois,Grumes,478409582
2001,Canada,Exportations,Produits bruts du bois,Bois à pâte,2845506
2001,Canada,Exportations,Produits de pâtes et papiers,Papier journal,7242802734
2001,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,7645859778
2001,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7344881508
2001,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,636321634
2001,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1691279909
2001,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,327255408
2001,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,585480983
2001,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",11066966161
2001,Canada,Exportations,Produits fabriqués en bois,Placage,430096948
2002,Canada,Exportations,Produits bruts du bois,Grumes,623653424
2002,Canada,Exportations,Produits bruts du bois,Bois à pâte,6426207
2002,Canada,Exportations,Produits de pâtes et papiers,Papier journal,6331184495
2002,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,7577514835
2002,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6998821026
2002,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,643014511
2002,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,1771509237
2002,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,321350521
2002,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,632318357
2002,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",10363161665
2002,Canada,Exportations,Produits fabriqués en bois,Placage,452144024
2003,Canada,Exportations,Produits bruts du bois,Grumes,547699779
2003,Canada,Exportations,Produits bruts du bois,Bois à pâte,12280172
2003,Canada,Exportations,Produits de pâtes et papiers,Papier journal,5644172834
2003,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,6747053196
2003,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6874611232
2003,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,608345285
2003,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2761137981
2003,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,297635087
2003,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,577879147
2003,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",8461992352
2003,Canada,Exportations,Produits fabriqués en bois,Placage,464094919
2004,Canada,Exportations,Produits bruts du bois,Grumes,507593901
2004,Canada,Exportations,Produits bruts du bois,Bois à pâte,9937258
2004,Canada,Exportations,Produits de pâtes et papiers,Papier journal,5310967683
2004,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,7373143275
2004,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,7206720387
2004,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,653959932
2004,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,3783603697
2004,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,291829330
2004,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,650670974
2004,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",11019199744
2004,Canada,Exportations,Produits fabriqués en bois,Placage,558572615
2005,Canada,Exportations,Produits bruts du bois,Grumes,604638350
2005,Canada,Exportations,Produits bruts du bois,Bois à pâte,13227328
2005,Canada,Exportations,Produits de pâtes et papiers,Papier journal,5263927911
2005,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,7338652610
2005,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6322918145
2005,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,641839326
2005,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,3203530110
2005,Canada,Exportations,Produits fabriqués en bois,Panneau de particules,257758949
2005,Canada,Exportations,Produits fabriqués en bois,Contreplaqué,654259557
2005,Canada,Exportations,Produits fabriqués en bois,"Bois d'œuvre résineux",9925649187
2005,Canada,Exportations,Produits fabriqués en bois,Placage,523868148
2006,Canada,Exportations,Produits bruts du bois,Grumes,544936728
2006,Canada,Exportations,Produits bruts du bois,Bois à pâte,10355711
2006,Canada,Exportations,Produits de pâtes et papiers,Papier journal,4903052694
2006,Canada,Exportations,Produits de pâtes et papiers,Autres papiers et cartons,6658114792
2006,Canada,Exportations,Produits de pâtes et papiers,Pâte de bois,6501468029
2006,Canada,Exportations,Produits fabriqués en bois,Bois de feuillus,544493068
2006,Canada,Exportations,Produits fabriqués en bois,Panneaux de particules orientées,2262277824
