Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Quantité
2000,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4393240
2000,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),2291539
2000,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),41207
2000,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),3490794
2000,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",273932
2000,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1182023
2000,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),111528
2000,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),378252
2000,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),365334
2000,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",769258
2000,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),116136538
2001,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4547609
2001,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),2588953
2001,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),47239
2001,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2842791
2001,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",263092
2001,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1035702
2001,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),116027
2001,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),301809
2001,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),515929
2001,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",563443
2001,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),122287537
2002,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),5071153
2002,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),2022600
2002,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),54127
2002,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2821114
