Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Valeur (en dollars)
2000,Canada,Importations,Produits bruts du bois,Grumes,448673564
2000,Canada,Importations,Produits bruts du bois,Bois à pâte,129724565
2000,Canada,Importations,Produits de pâtes et papiers,Papier journal,34121619
2000,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2956617038
2000,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,230331086
2000,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,596809059
2000,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,46084403
2000,Canada,Importations,Produits fabriqués en bois,Panneau de particules,115826381
2000,Canada,Importations,Produits fabriqués en bois,Contreplaqué,164193875
2000,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",237082687
2000,Canada,Importations,Produits fabriqués en bois,Placage,240714896
2001,Canada,Importations,Produits bruts du bois,Grumes,462480504
2001,Canada,Importations,Produits bruts du bois,Bois à pâte,142985629
2001,Canada,Importations,Produits de pâtes et papiers,Papier journal,36792967
2001,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,2955679957
2001,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,215607640
2001,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,533929502
2001,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,44120506
2001,Canada,Importations,Produits fabriqués en bois,Panneau de particules,80733019
2001,Canada,Importations,Produits fabriqués en bois,Contreplaqué,155899057
2001,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",167064422
2001,Canada,Importations,Produits fabriqués en bois,Placage,236428155
2002,Canada,Importations,Produits bruts du bois,Grumes,477731716
2002,Canada,Importations,Produits bruts du bois,Bois à pâte,114073666
2002,Canada,Importations,Produits de pâtes et papiers,Papier journal,38458985
2002,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3354860211
2002,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,209120578
2002,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,575693017
2002,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,52489864
2002,Canada,Importations,Produits fabriqués en bois,Panneau de particules,107603403
2002,Canada,Importations,Produits fabriqués en bois,Contreplaqué,194766659
2002,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",162548012
2002,Canada,Importations,Produits fabriqués en bois,Placage,271238838
2003,Canada,Importations,Produits bruts du bois,Grumes,475504588
2003,Canada,Importations,Produits bruts du bois,Bois à pâte,53073163
2003,Canada,Importations,Produits de pâtes et papiers,Papier journal,47063825
2003,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3223414392
2003,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,193052250
2003,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,583729773
2003,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,42553034
2003,Canada,Importations,Produits fabriqués en bois,Panneau de particules,84466551
2003,Canada,Importations,Produits fabriqués en bois,Contreplaqué,183987393
2003,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",156531506
2003,Canada,Importations,Produits fabriqués en bois,Placage,254849560
2004,Canada,Importations,Produits bruts du bois,Grumes,482402388
2004,Canada,Importations,Produits bruts du bois,Bois à pâte,51692727
2004,Canada,Importations,Produits de pâtes et papiers,Papier journal,45342759
2004,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3176790987
2004,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,195341348
2004,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,576088758
2004,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,42683005
2004,Canada,Importations,Produits fabriqués en bois,Panneau de particules,68275264
2004,Canada,Importations,Produits fabriqués en bois,Contreplaqué,244226694
2004,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",153528892
2004,Canada,Importations,Produits fabriqués en bois,Placage,253338089
2005,Canada,Importations,Produits bruts du bois,Grumes,480300714
2005,Canada,Importations,Produits bruts du bois,Bois à pâte,33324408
2005,Canada,Importations,Produits de pâtes et papiers,Papier journal,51443495
2005,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3159177851
2005,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,220468106
2005,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,516315146
2005,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,38816264
2005,Canada,Importations,Produits fabriqués en bois,Panneau de particules,56086452
2005,Canada,Importations,Produits fabriqués en bois,Contreplaqué,214451294
2005,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",150055352
2005,Canada,Importations,Produits fabriqués en bois,Placage,226945714
2006,Canada,Importations,Produits bruts du bois,Grumes,425929880
2006,Canada,Importations,Produits bruts du bois,Bois à pâte,41614230
2006,Canada,Importations,Produits de pâtes et papiers,Papier journal,39274623
2006,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3272844148
2006,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,168941759
2006,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,476284839
2006,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,39657958
2006,Canada,Importations,Produits fabriqués en bois,Panneau de particules,107275366
2006,Canada,Importations,Produits fabriqués en bois,Contreplaqué,242241075
2006,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",160032806
2006,Canada,Importations,Produits fabriqués en bois,Placage,224443146
2007,Canada,Importations,Produits bruts du bois,Grumes,325194728
2007,Canada,Importations,Produits bruts du bois,Bois à pâte,50230275
2007,Canada,Importations,Produits de pâtes et papiers,Papier journal,40124390
2007,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3224424165
2007,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,168168439
2007,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,421259114
2007,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,31510059
2007,Canada,Importations,Produits fabriqués en bois,Panneau de particules,88397381
2007,Canada,Importations,Produits fabriqués en bois,Contreplaqué,267971900
2007,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",157679887
2007,Canada,Importations,Produits fabriqués en bois,Placage,215376137
2008,Canada,Importations,Produits bruts du bois,Grumes,286591771
2008,Canada,Importations,Produits bruts du bois,Bois à pâte,35055126
2008,Canada,Importations,Produits de pâtes et papiers,Papier journal,59338426
2008,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons,3191058029
2008,Canada,Importations,Produits de pâtes et papiers,Pâte de bois,184301527
2008,Canada,Importations,Produits fabriqués en bois,Bois de feuillus,340202196
2008,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées,40221269
2008,Canada,Importations,Produits fabriqués en bois,Panneau de particules,71668825
2008,Canada,Importations,Produits fabriqués en bois,Contreplaqué,272953607
2008,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux",166560349
2008,Canada,Importations,Produits fabriqués en bois,Placage,169908439
2009,Canada,Importations,Produits bruts du bois,Grumes,289074182
2009,Canada,Importations,Produits bruts du bois,Bois à pâte,51164940
2009,Canada,Importations,Produits de pâtes et papiers,Papier journal,43360553
