Année,Juridiction,Produit,Valeur (en dollars)
2000,Canada,"Valeur brute des produits de l'érable",182179000
2000,Nouveau-Brunswick,"Valeur brute des produits de l'érable",3231000
2000,Nouvelle-Écosse,"Valeur brute des produits de l'érable",0
2000,Ontario,"Valeur brute des produits de l'érable",17696000
2000,Québec,"Valeur brute des produits de l'érable",161252000
2001,Canada,"Valeur brute des produits de l'érable",158555000
2001,Nouveau-Brunswick,"Valeur brute des produits de l'érable",3396000
2001,Nouvelle-Écosse,"Valeur brute des produits de l'érable",989000
2001,Ontario,"Valeur brute des produits de l'érable",10825000
2001,Québec,"Valeur brute des produits de l'érable",143345000
2002,Canada,"Valeur brute des produits de l'érable",179035000
2002,Nouveau-Brunswick,"Valeur brute des produits de l'érable",5849000
2002,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1130000
2002,Ontario,"Valeur brute des produits de l'érable",11063000
2002,Québec,"Valeur brute des produits de l'érable",160993000
2003,Canada,"Valeur brute des produits de l'érable",208607000
2003,Nouveau-Brunswick,"Valeur brute des produits de l'érable",6845000
2003,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1395000
2003,Ontario,"Valeur brute des produits de l'érable",10750000
2003,Québec,"Valeur brute des produits de l'érable",189617000
2004,Canada,"Valeur brute des produits de l'érable",228418000
2004,Nouveau-Brunswick,"Valeur brute des produits de l'érable",8044000
2004,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1068000
2004,Ontario,"Valeur brute des produits de l'érable",10928000
2004,Québec,"Valeur brute des produits de l'érable",208378000
2005,Canada,"Valeur brute des produits de l'érable",197093000
2005,Nouveau-Brunswick,"Valeur brute des produits de l'érable",8934000
2005,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1054000
2005,Ontario,"Valeur brute des produits de l'érable",10988000
2005,Québec,"Valeur brute des produits de l'érable",176117000
2006,Canada,"Valeur brute des produits de l'érable",187745000
2006,Nouveau-Brunswick,"Valeur brute des produits de l'érable",10878000
2006,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1045000
2006,Ontario,"Valeur brute des produits de l'érable",11195000
2006,Québec,"Valeur brute des produits de l'érable",164627000
2007,Canada,"Valeur brute des produits de l'érable",176234000
2007,Nouveau-Brunswick,"Valeur brute des produits de l'érable",10702000
2007,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1067000
2007,Ontario,"Valeur brute des produits de l'érable",12088000
2007,Québec,"Valeur brute des produits de l'érable",152377000
2008,Canada,"Valeur brute des produits de l'érable",204120000
2008,Nouveau-Brunswick,"Valeur brute des produits de l'érable",8817000
2008,Nouvelle-Écosse,"Valeur brute des produits de l'érable",915000
2008,Ontario,"Valeur brute des produits de l'érable",15469000
2008,Québec,"Valeur brute des produits de l'érable",178919000
2009,Canada,"Valeur brute des produits de l'érable",395207000
2009,Nouveau-Brunswick,"Valeur brute des produits de l'érable",22230000
2009,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1040000
2009,Ontario,"Valeur brute des produits de l'érable",25644000
2009,Québec,"Valeur brute des produits de l'érable",346293000
2010,Canada,"Valeur brute des produits de l'érable",291061000
2010,Nouveau-Brunswick,"Valeur brute des produits de l'érable",18620000
2010,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1534000
2010,Ontario,"Valeur brute des produits de l'érable",19225000
2010,Québec,"Valeur brute des produits de l'érable",251682000
2011,Canada,"Valeur brute des produits de l'érable",339154000
2011,Nouveau-Brunswick,"Valeur brute des produits de l'érable",21728000
2011,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1667000
2011,Ontario,"Valeur brute des produits de l'érable",32559000
2011,Québec,"Valeur brute des produits de l'érable",283200000
2012,Canada,"Valeur brute des produits de l'érable",305543000
2012,Nouveau-Brunswick,"Valeur brute des produits de l'érable",20399000
2012,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1400000
2012,Ontario,"Valeur brute des produits de l'érable",14544000
2012,Québec,"Valeur brute des produits de l'érable",269200000
2013,Canada,"Valeur brute des produits de l'érable",409662000
2013,Nouveau-Brunswick,"Valeur brute des produits de l'érable",28892000
2013,Nouvelle-Écosse,"Valeur brute des produits de l'érable",2225000
2013,Ontario,"Valeur brute des produits de l'érable",30845000
2013,Québec,"Valeur brute des produits de l'érable",347700000
2014,Canada,"Valeur brute des produits de l'érable",381222000
2014,Nouveau-Brunswick,"Valeur brute des produits de l'érable",30580000
2014,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1779000
2014,Ontario,"Valeur brute des produits de l'érable",25863000
2014,Québec,"Valeur brute des produits de l'érable",323000000
2015,Canada,"Valeur brute des produits de l'érable",358242000
2015,Nouveau-Brunswick,"Valeur brute des produits de l'érable",24415000
2015,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1176000
2015,Ontario,"Valeur brute des produits de l'érable",26151000
2015,Québec,"Valeur brute des produits de l'érable",306500000
2016,Canada,"Valeur brute des produits de l'érable",484109000
2016,Nouveau-Brunswick,"Valeur brute des produits de l'érable",22023000
2016,Nouvelle-Écosse,"Valeur brute des produits de l'érable",3200000
2016,Ontario,"Valeur brute des produits de l'érable",23286000
2016,Québec,"Valeur brute des produits de l'érable",435600000
2017,Canada,"Valeur brute des produits de l'érable",493993000
2017,Nouveau-Brunswick,"Valeur brute des produits de l'érable",22003000
2017,Nouvelle-Écosse,"Valeur brute des produits de l'érable",2473000
2017,Ontario,"Valeur brute des produits de l'érable",24947000
2017,Québec,"Valeur brute des produits de l'érable",444570000
2018,Canada,"Valeur brute des produits de l'érable",385531000
2018,Nouveau-Brunswick,"Valeur brute des produits de l'érable",13715000
2018,Nouvelle-Écosse,"Valeur brute des produits de l'érable",3069000
2018,Ontario,"Valeur brute des produits de l'érable",23913000
2018,Québec,"Valeur brute des produits de l'érable",344834000
2019,Canada,"Valeur brute des produits de l'érable",519083000
2019,Nouveau-Brunswick,"Valeur brute des produits de l'érable",23217000
2019,Nouvelle-Écosse,"Valeur brute des produits de l'érable",3847000
2019,Ontario,"Valeur brute des produits de l'érable",26535000
2019,Québec,"Valeur brute des produits de l'érable",465484000
2020,Canada,"Valeur brute des produits de l'érable",562389000
2020,Nouveau-Brunswick,"Valeur brute des produits de l'érable",20630000
2020,Nouvelle-Écosse,"Valeur brute des produits de l'érable",2850000
2020,Ontario,"Valeur brute des produits de l'érable",25759000
2020,Québec,"Valeur brute des produits de l'érable",513150000
2021,Canada,"Valeur brute des produits de l'érable",453035000
2021,Nouveau-Brunswick,"Valeur brute des produits de l'érable",31665000
2021,Nouvelle-Écosse,"Valeur brute des produits de l'érable",1953000
2021,Ontario,"Valeur brute des produits de l'érable",26231000
