Année,Juridiction,Marchandise,Type de commerce,Quantité
2000,Canada,"Sucre d'érable (tonnes métriques)",Exportations,248
2000,Canada,"Sucre d'érable (tonnes métriques)",Importations,4
2000,Canada,"Sirop d'érable (litres)",Exportations,19101807
2000,Canada,"Sirop d'érable (litres)",Importations,357094
2001,Canada,"Sucre d'érable (tonnes métriques)",Exportations,112
2001,Canada,"Sucre d'érable (tonnes métriques)",Importations,16
2001,Canada,"Sirop d'érable (litres)",Exportations,20912239
2001,Canada,"Sirop d'érable (litres)",Importations,609360
2002,Canada,"Sucre d'érable (tonnes métriques)",Exportations,259
2002,Canada,"Sucre d'érable (tonnes métriques)",Importations,36
2002,Canada,"Sirop d'érable (litres)",Exportations,22722837
2002,Canada,"Sirop d'érable (litres)",Importations,623038
2003,Canada,"Sucre d'érable (tonnes métriques)",Exportations,206
2003,Canada,"Sucre d'érable (tonnes métriques)",Importations,14
2003,Canada,"Sirop d'érable (litres)",Exportations,22513917
2003,Canada,"Sirop d'érable (litres)",Importations,641331
2004,Canada,"Sucre d'érable (tonnes métriques)",Exportations,305
2004,Canada,"Sucre d'érable (tonnes métriques)",Importations,13
2004,Canada,"Sirop d'érable (litres)",Exportations,23336867
2004,Canada,"Sirop d'érable (litres)",Importations,1006331
2005,Canada,"Sucre d'érable (tonnes métriques)",Exportations,243
2005,Canada,"Sucre d'érable (tonnes métriques)",Importations,38
2005,Canada,"Sirop d'érable (litres)",Exportations,24479653
2005,Canada,"Sirop d'érable (litres)",Importations,854997
2006,Canada,"Sucre d'érable (tonnes métriques)",Exportations,383
2006,Canada,"Sucre d'érable (tonnes métriques)",Importations,24
2006,Canada,"Sirop d'érable (litres)",Exportations,27000235
2006,Canada,"Sirop d'érable (litres)",Importations,1080064
2007,Canada,"Sucre d'érable (tonnes métriques)",Exportations,493
2007,Canada,"Sucre d'érable (tonnes métriques)",Importations,3
2007,Canada,"Sirop d'érable (litres)",Exportations,30440366
2007,Canada,"Sirop d'érable (litres)",Importations,329451
2008,Canada,"Sucre d'érable (tonnes métriques)",Exportations,428
2008,Canada,"Sucre d'érable (tonnes métriques)",Importations,25
2008,Canada,"Sirop d'érable (litres)",Exportations,25605019
2008,Canada,"Sirop d'érable (litres)",Importations,718177
