Année,Juridiction,Marchandise,Type de commerce,Valeur (en dollars)
2000,Canada,"Sucre d'érable",Exportations,1774378
2000,Canada,"Sucre d'érable",Importations,28014
2000,Canada,"Sirop d'érable",Exportations,104131447
2000,Canada,"Sirop d'érable",Importations,1412579
2001,Canada,"Sucre d'érable",Exportations,1091952
2001,Canada,"Sucre d'érable",Importations,78123
2001,Canada,"Sirop d'érable",Exportations,127547147
2001,Canada,"Sirop d'érable",Importations,2660002
2002,Canada,"Sucre d'érable",Exportations,1504133
2002,Canada,"Sucre d'érable",Importations,221095
2002,Canada,"Sirop d'érable",Exportations,152481488
2002,Canada,"Sirop d'érable",Importations,3355120
2003,Canada,"Sucre d'érable",Exportations,1575101
2003,Canada,"Sucre d'érable",Importations,103305
2003,Canada,"Sirop d'érable",Exportations,145667030
2003,Canada,"Sirop d'érable",Importations,3568218
2004,Canada,"Sucre d'érable",Exportations,2152132
2004,Canada,"Sucre d'érable",Importations,108280
2004,Canada,"Sirop d'érable",Exportations,152028610
2004,Canada,"Sirop d'érable",Importations,5337938
2005,Canada,"Sucre d'érable",Exportations,1928828
2005,Canada,"Sucre d'érable",Importations,290301
2005,Canada,"Sirop d'érable",Exportations,163484057
2005,Canada,"Sirop d'érable",Importations,4035402
2006,Canada,"Sucre d'érable",Exportations,3087928
2006,Canada,"Sucre d'érable",Importations,169508
2006,Canada,"Sirop d'érable",Exportations,187535856
2006,Canada,"Sirop d'érable",Importations,5104867
2007,Canada,"Sucre d'érable",Exportations,4094745
2007,Canada,"Sucre d'érable",Importations,14808
2007,Canada,"Sirop d'érable",Exportations,213536247
2007,Canada,"Sirop d'érable",Importations,1195368
2008,Canada,"Sucre d'érable",Exportations,6074671
2008,Canada,"Sucre d'érable",Importations,91325
2008,Canada,"Sirop d'érable",Exportations,227664178
2008,Canada,"Sirop d'érable",Importations,5459298
2009,Canada,"Sucre d'érable",Exportations,4806516
2009,Canada,"Sucre d'érable",Importations,338988
2009,Canada,"Sirop d'érable",Exportations,247921649
2009,Canada,"Sirop d'érable",Importations,9972300
2010,Canada,"Sucre d'érable",Exportations,4679425
2010,Canada,"Sucre d'érable",Importations,20160
2010,Canada,"Sirop d'érable",Exportations,226618788
2010,Canada,"Sirop d'érable",Importations,8633117
2011,Canada,"Sucre d'érable",Exportations,4021785
2011,Canada,"Sucre d'érable",Importations,81535
2011,Canada,"Sirop d'érable",Exportations,238099142
2011,Canada,"Sirop d'érable",Importations,11235378
2012,Canada,"Sucre d'érable",Exportations,4957450
2012,Canada,"Sucre d'érable",Importations,201318
2012,Canada,"Sirop d'érable",Exportations,244426500
2012,Canada,"Sirop d'érable",Importations,8306640
2013,Canada,"Sucre d'érable",Exportations,6405953
2013,Canada,"Sucre d'érable",Importations,101859
2013,Canada,"Sirop d'érable",Exportations,271536362
2013,Canada,"Sirop d'érable",Importations,11951512
2014,Canada,"Sucre d'érable",Exportations,5614694
2014,Canada,"Sucre d'érable",Importations,495794
2014,Canada,"Sirop d'érable",Exportations,304179624
2014,Canada,"Sirop d'érable",Importations,11997941
2015,Canada,"Sucre d'érable",Exportations,5742134
2015,Canada,"Sucre d'érable",Importations,1001916
2015,Canada,"Sirop d'érable",Exportations,353799942
2015,Canada,"Sirop d'érable",Importations,12620050
2016,Canada,"Sucre d'érable",Exportations,6268297
2016,Canada,"Sucre d'érable",Importations,712383
2016,Canada,"Sirop d'érable",Exportations,375139712
2016,Canada,"Sirop d'érable",Importations,21268034
2017,Canada,"Sucre d'érable",Exportations,11473410
2017,Canada,"Sucre d'érable",Importations,702800
2017,Canada,"Sirop d'érable",Exportations,369868403
2017,Canada,"Sirop d'érable",Importations,16375114
2018,Canada,"Sucre d'érable",Exportations,9090786
2018,Canada,"Sucre d'érable",Importations,723821
2018,Canada,"Sirop d'érable",Exportations,396558567
2018,Canada,"Sirop d'érable",Importations,14056615
2019,Canada,"Sucre d'érable",Exportations,8976911
2019,Canada,"Sucre d'érable",Importations,284754
2019,Canada,"Sirop d'érable",Exportations,420967337
2019,Canada,"Sirop d'érable",Importations,14424349
2020,Canada,"Sucre d'érable",Exportations,14257177
2020,Canada,"Sucre d'érable",Importations,35278
2020,Canada,"Sirop d'érable",Exportations,501759307
2020,Canada,"Sirop d'érable",Importations,15459435
2021,Canada,"Sucre d'érable",Exportations,33971677
2021,Canada,"Sucre d'érable",Importations,51407
2021,Canada,"Sirop d'érable",Exportations,557930365
2021,Canada,"Sirop d'érable",Importations,10959462
2022,Canada,"Sucre d'érable",Exportations,29537147
2022,Canada,"Sucre d'érable",Importations,93028
2022,Canada,"Sirop d'érable",Exportations,587097509
2022,Canada,"Sirop d'érable",Importations,16846520
2023,Canada,"Sucre d'érable",Exportations,17634717
2023,Canada,"Sucre d'érable",Importations,111249
2023,Canada,"Sirop d'érable",Exportations,599775043
2023,Canada,"Sirop d'érable",Importations,17103779
2024,Canada,"Sucre d'érable",Exportations,11819167
2024,Canada,"Sucre d'érable",Importations,311840
2024,Canada,"Sirop d'érable",Exportations,706246070
2024,Canada,"Sirop d'érable",Importations,25839879
