Année,Juridiction,Groupe de produits de base,Valeur des importations (en dollars),Valeur des exportations (en dollars),Balance commerciale (dollars)
2000,Canada,Produits bruts du bois,705890364,738744021,32853657
2000,Canada,Produits de pâtes et papiers,6832099423,27865092589,21032993166
2000,Canada,Produits fabriqués en bois,2432885441,19116818624,16683933183
2001,Canada,Produits bruts du bois,714633900,769354946,54721046
2001,Canada,Produits de pâtes et papiers,6854267794,25747593394,18893325600
2001,Canada,Produits fabriqués en bois,2296866668,18259156897,15962290229
2002,Canada,Produits bruts du bois,701428489,913360680,211932191
2002,Canada,Produits de pâtes et papiers,7086824258,24288088901,17201264643
2002,Canada,Produits fabriqués en bois,2677864757,18002925220,15325060463
2003,Canada,Produits bruts du bois,632384546,824809278,192424732
2003,Canada,Produits de pâtes et papiers,6699913481,22110080103,15410166622
2003,Canada,Produits fabriqués en bois,2677328117,16854552522,14177224405
2004,Canada,Produits bruts du bois,649874673,808976688,159102015
2004,Canada,Produits de pâtes et papiers,6700861502,22806935015,16106073513
2004,Canada,Produits fabriqués en bois,2926896896,21172592186,18245695290
2005,Canada,Produits bruts du bois,628691679,942695609,314003930
2005,Canada,Produits de pâtes et papiers,6626196017,21843674303,15217478286
2005,Canada,Produits fabriqués en bois,2907547019,19335403331,16427856312
2006,Canada,Produits bruts du bois,583728465,918073266,334344801
2006,Canada,Produits de pâtes et papiers,6703927840,20937728277,14233800437
2006,Canada,Produits fabriqués en bois,2976258149,16480290135,13504031986
2007,Canada,Produits bruts du bois,553062912,799602667,246539755
2007,Canada,Produits de pâtes et papiers,6701904446,20208564795,13506660349
2007,Canada,Produits fabriqués en bois,2936616181,12720108779,9783492598
2008,Canada,Produits bruts du bois,508289050,696344790,188055740
2008,Canada,Produits de pâtes et papiers,6809491258,20359605102,13550113844
2008,Canada,Produits fabriqués en bois,2808757209,9138862845,6330105636
2009,Canada,Produits bruts du bois,487345461,654732086,167386625
2009,Canada,Produits de pâtes et papiers,6332453314,16059767237,9727313923
2009,Canada,Produits fabriqués en bois,2394487091,6790537158,4396050067
2010,Canada,Produits bruts du bois,448949354,844658429,395709075
2010,Canada,Produits de pâtes et papiers,6293823387,17167343788,10873520401
2010,Canada,Produits fabriqués en bois,2679099966,7898887883,5219787917
2011,Canada,Produits bruts du bois,391915585,1057493153,665577568
2011,Canada,Produits de pâtes et papiers,6187759745,17298164087,11110404342
2011,Canada,Produits fabriqués en bois,2705828982,8014465626,5308636644
2012,Canada,Produits bruts du bois,419796922,1030956798,611159876
2012,Canada,Produits de pâtes et papiers,5768194991,15219292815,9451097824
2012,Canada,Produits fabriqués en bois,2681365567,8975389026,6294023459
2013,Canada,Produits bruts du bois,460969015,1273094650,812125635
2013,Canada,Produits de pâtes et papiers,6080415464,15809268734,9728853270
2013,Canada,Produits fabriqués en bois,2805737511,11430716206,8624978695
2014,Canada,Produits bruts du bois,498872783,1302259953,803387170
2014,Canada,Produits de pâtes et papiers,6529461385,16990346329,10460884944
2014,Canada,Produits fabriqués en bois,3057639468,12666388487,9608749019
2015,Canada,Produits bruts du bois,595871038,1205862076,609991038
2015,Canada,Produits de pâtes et papiers,7329554313,17907324191,10577769878
2015,Canada,Produits fabriqués en bois,3249887693,13724593669,10474705976
2016,Canada,Produits bruts du bois,527001296,1443412075,916410779
2016,Canada,Produits de pâtes et papiers,7350681460,17085549115,9734867655
2016,Canada,Produits fabriqués en bois,3366380612,16013129905,12646749293
2017,Canada,Produits bruts du bois,496704705,1449317830,952613125
2017,Canada,Produits de pâtes et papiers,7581015353,17613991327,10032975974
2017,Canada,Produits fabriqués en bois,3390684670,16825383746,13434699076
2018,Canada,Produits bruts du bois,588946118,1488964205,900018087
2018,Canada,Produits de pâtes et papiers,7887195796,20061094320,12173898524
2018,Canada,Produits fabriqués en bois,3410802552,16953961064,13543158512
2019,Canada,Produits bruts du bois,580081544,1423361486,843279942
2019,Canada,Produits de pâtes et papiers,7947262901,17714257540,9766994639
2019,Canada,Produits fabriqués en bois,3312161542,14025406649,10713245107
2020,Canada,Produits bruts du bois,536538538,1118611074,582072536
2020,Canada,Produits de pâtes et papiers,7763543036,15277502757,7513959721
2020,Canada,Produits fabriqués en bois,3173453068,16879002535,13705549467
2021,Canada,Produits bruts du bois,538461202,1351959257,813498055
2021,Canada,Produits de pâtes et papiers,8117724743,16709983929,8592259186
2021,Canada,Produits fabriqués en bois,4294357968,26906723043,22612365075
2022,Canada,Produits bruts du bois,532989778,1570336761,1037346983
2022,Canada,Produits de pâtes et papiers,10024427086,19878782364,9854355278
2022,Canada,Produits fabriqués en bois,4696672248,24117360136,19420687888
2023,Canada,Produits bruts du bois,592953762,1488413919,895460157
2023,Canada,Produits de pâtes et papiers,9766079073,18160570520,8394491447
2023,Canada,Produits fabriqués en bois,4037082408,16603181948,12566099540
2024,Canada,Produits bruts du bois,608852674,1369315957,760463283
2024,Canada,Produits de pâtes et papiers,10489807125,18703829018,8214021893
2024,Canada,Produits fabriqués en bois,4098505441,17172939152,13074433711
