Année,Juridiction,Groupe de produits,Consommation intérieure
2000,Canada,Bois de feuillus (mètres cubes),1282366
2000,Canada,"Bois d'œuvre résineux (mètres cubes)",27191250
2000,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",2280182
2000,Canada,Papier graphique total (tonnes),4210321
2000,Canada,Pâte de bois (tonnes),15241938
2001,Canada,Bois de feuillus (mètres cubes),1308240
2001,Canada,"Bois d'œuvre résineux (mètres cubes)",23700789
2001,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",2274265
2001,Canada,Papier graphique total (tonnes),3695818
2001,Canada,Pâte de bois (tonnes),13625894
2002,Canada,Bois de feuillus (mètres cubes),1524209
2002,Canada,"Bois d'œuvre résineux (mètres cubes)",28510843
2002,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",2419172
2002,Canada,Papier graphique total (tonnes),3257086
2002,Canada,Pâte de bois (tonnes),13668011
2003,Canada,Bois de feuillus (mètres cubes),1560024
2003,Canada,"Bois d'œuvre résineux (mètres cubes)",27254936
2003,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",2654840
2003,Canada,Papier graphique total (tonnes),3049211
2003,Canada,Pâte de bois (tonnes),14690492
2004,Canada,Bois de feuillus (mètres cubes),2691259
2004,Canada,"Bois d'œuvre résineux (mètres cubes)",28347773
2004,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",3391553
2004,Canada,Papier graphique total (tonnes),3547640
2004,Canada,Pâte de bois (tonnes),15001287
2005,Canada,Bois de feuillus (mètres cubes),2234427
2005,Canada,"Bois d'œuvre résineux (mètres cubes)",26734946
2005,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",3132891
2005,Canada,Papier graphique total (tonnes),3288312
2005,Canada,Pâte de bois (tonnes),14968420
2006,Canada,Bois de feuillus (mètres cubes),2006172
2006,Canada,"Bois d'œuvre résineux (mètres cubes)",27234707
2006,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",3460645
2006,Canada,Papier graphique total (tonnes),2913176
2006,Canada,Pâte de bois (tonnes),12854187
2007,Canada,Bois de feuillus (mètres cubes),2207239
2007,Canada,"Bois d'œuvre résineux (mètres cubes)",26326449
2007,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",3931113
2007,Canada,Papier graphique total (tonnes),3080871
2007,Canada,Pâte de bois (tonnes),12195218
2008,Canada,Bois de feuillus (mètres cubes),2122346
2008,Canada,"Bois d'œuvre résineux (mètres cubes)",23942515
2008,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4846209
2008,Canada,Papier graphique total (tonnes),2395848
2008,Canada,Pâte de bois (tonnes),11079340
2009,Canada,Bois de feuillus (mètres cubes),1719323
2009,Canada,"Bois d'œuvre résineux (mètres cubes)",19235402
2009,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",3396574
2009,Canada,Papier graphique total (tonnes),2400234
2009,Canada,Pâte de bois (tonnes),9061581
2010,Canada,Bois de feuillus (mètres cubes),2758963
2010,Canada,"Bois d'œuvre résineux (mètres cubes)",22762033
2010,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4713032
2010,Canada,Papier graphique total (tonnes),2221614
2010,Canada,Pâte de bois (tonnes),9446433
2011,Canada,Bois de feuillus (mètres cubes),1973855
2011,Canada,"Bois d'œuvre résineux (mètres cubes)",19728538
2011,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",5349631
2011,Canada,Papier graphique total (tonnes),2014667
2011,Canada,Pâte de bois (tonnes),8833399
2012,Canada,Bois de feuillus (mètres cubes),2028707
2012,Canada,"Bois d'œuvre résineux (mètres cubes)",21736796
2012,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4767455
2012,Canada,Papier graphique total (tonnes),1934568
2012,Canada,Pâte de bois (tonnes),7513735
2013,Canada,Bois de feuillus (mètres cubes),1974011
2013,Canada,"Bois d'œuvre résineux (mètres cubes)",20769674
2013,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4319969
2013,Canada,Papier graphique total (tonnes),1886075
2013,Canada,Pâte de bois (tonnes),7677944
2014,Canada,Bois de feuillus (mètres cubes),1766424
2014,Canada,"Bois d'œuvre résineux (mètres cubes)",19068561
2014,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4819429
2014,Canada,Papier graphique total (tonnes),1605609
2014,Canada,Pâte de bois (tonnes),7570014
2015,Canada,Bois de feuillus (mètres cubes),2307129
2015,Canada,"Bois d'œuvre résineux (mètres cubes)",22880901
2015,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",6882913
2015,Canada,Papier graphique total (tonnes),1591991
2015,Canada,Pâte de bois (tonnes),6961600
2016,Canada,Bois de feuillus (mètres cubes),1650392
2016,Canada,"Bois d'œuvre résineux (mètres cubes)",20899547
2016,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4034815
2016,Canada,Papier graphique total (tonnes),1615865
2016,Canada,Pâte de bois (tonnes),7050006
2017,Canada,Bois de feuillus (mètres cubes),1528290
2017,Canada,"Bois d'œuvre résineux (mètres cubes)",23036173
2017,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",4308620
2017,Canada,Papier graphique total (tonnes),1602519
2017,Canada,Pâte de bois (tonnes),6786756
2018,Canada,Bois de feuillus (mètres cubes),1319708
2018,Canada,"Bois d'œuvre résineux (mètres cubes)",24512074
2018,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",13265362
2018,Canada,Papier graphique total (tonnes),1475693
2018,Canada,Pâte de bois (tonnes),6987631
2019,Canada,Bois de feuillus (mètres cubes),1038214
2019,Canada,"Bois d'œuvre résineux (mètres cubes)",19433524
2019,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",12042336
2019,Canada,Papier graphique total (tonnes),1308914
2019,Canada,Pâte de bois (tonnes),6560011
2020,Canada,Bois de feuillus (mètres cubes),989371
2020,Canada,"Bois d'œuvre résineux (mètres cubes)",19137791
2020,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",12015246
2020,Canada,Papier graphique total (tonnes),827589
2020,Canada,Pâte de bois (tonnes),5918636
2021,Canada,Bois de feuillus (mètres cubes),1040888
2021,Canada,"Bois d'œuvre résineux (mètres cubes)",19767499
2021,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",13031748
2021,Canada,Papier graphique total (tonnes),859135
2021,Canada,Pâte de bois (tonnes),6577464
2022,Canada,Bois de feuillus (mètres cubes),1057713
2022,Canada,"Bois d'œuvre résineux (mètres cubes)",17870993
2022,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",12670168
2022,Canada,Papier graphique total (tonnes),1048919
2022,Canada,Pâte de bois (tonnes),5340590
2023,Canada,Bois de feuillus (mètres cubes),1032224
2023,Canada,"Bois d'œuvre résineux (mètres cubes)",17581787
2023,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",12015589
2023,Canada,Papier graphique total (tonnes),703885
2023,Canada,Pâte de bois (tonnes),5193002
2024,Canada,Bois de feuillus (mètres cubes),942071
2024,Canada,"Bois d'œuvre résineux (mètres cubes)",17276094
2024,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",12591470
2024,Canada,Papier graphique total (tonnes),660182
2024,Canada,Pâte de bois (tonnes),4815476
