Year,Measure,Value
2000,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",70.1855690751808
2000,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",-97
2000,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",-26.8144309248192
2000,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",201.666666666667
2001,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",47.2800918399927
2001,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",-60
2001,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",-12.7199081600073
2001,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",183.333333333333
2002,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",59.2051268078686
2002,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",56
2002,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",115.205126807869
2002,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",194.333333333333
2003,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",52.4555463490424
2003,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",27
2003,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",79.4555463490424
2003,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",179.666666666667
2004,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",79.8934758110991
2004,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",100
2004,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",179.893475811099
2004,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",205.333333333333
2005,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",82.7568432211954
2005,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",17
2005,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",99.7568432211954
2005,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",198
2006,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",66.4158090869389
2006,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",46
2006,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",112.415809086939
2006,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",183.333333333333
2007,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",59.1738927770721
2007,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",59
2007,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",118.173892777072
2007,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",165
2008,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",53.2695803617684
2008,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",9.4
2008,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",62.6695803617684
2008,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",143
2009,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",41.210519323729
2009,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",32
2009,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",73.210519323729
2009,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",121
2010,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",55.6613482433866
2010,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",86
2010,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",141.661348243387
2010,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",143
2011,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",50.6452328465791
2011,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",120
2011,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",170.645232846579
2011,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",150.333333333333
2012,"Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)",44.1284733098881
2012,"Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)",90
2012,"Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)",134.128473309888
2012,"Transfers from the managed forest sector to the forest products sector due to harvesting and firewood collection (CO2e/yr, megatonnes)",154
