Terrestrial ecozone,Forest Type,Percentage
Canada,Non-treed,5.05803827208467e-02
Canada,Treed Broadleaf,0.113735074878459
Canada,Treed Coniferous,0.699610773938437
Canada,Treed Mixedwood,0.136073768462257
Atlantic Maritime,Non-treed,4.12870673491115e-02
Atlantic Maritime,Treed Broadleaf,0.199175401430606
Atlantic Maritime,Treed Coniferous,0.41714835501483
Atlantic Maritime,Treed Mixedwood,0.342389176205452
Boreal Cordillera,Non-treed,4.92719653347657e-02
Boreal Cordillera,Treed Broadleaf,6.83788022301488e-02
Boreal Cordillera,Treed Coniferous,0.769026341546349
Boreal Cordillera,Treed Mixedwood,0.113322890888737
Boreal Plains,Non-treed,3.81677434102641e-02
Boreal Plains,Treed Broadleaf,0.276065587992433
Boreal Plains,Treed Coniferous,0.550584716137184
Boreal Plains,Treed Mixedwood,0.135181952460119
Boreal Shield,Non-treed,5.11099003394701e-02
Boreal Shield,Treed Broadleaf,0.114747284431987
Boreal Shield,Treed Coniferous,0.645221107887872
Boreal Shield,Treed Mixedwood,0.188921707340671
Hudson Plains,Non-treed,5.03623547610623e-02
Hudson Plains,Treed Broadleaf,1.04785243402085e-02
Hudson Plains,Treed Coniferous,0.754044247739505
Hudson Plains,Treed Mixedwood,0.185114873159224
Mixedwood Plains,Non-treed,4.89964994779308e-02
Mixedwood Plains,Treed Broadleaf,0.571943587313514
Mixedwood Plains,Treed Coniferous,0.135705558824371
Mixedwood Plains,Treed Mixedwood,0.243354354384183
Montane Cordillera,Non-treed,6.01770098512955e-02
Montane Cordillera,Treed Broadleaf,2.45340085274096e-02
Montane Cordillera,Treed Coniferous,0.857944057991176
Montane Cordillera,Treed Mixedwood,5.7344923630119e-02
Pacific Maritime,Non-treed,4.61862178591999e-02
Pacific Maritime,Treed Broadleaf,2.78335052765636e-02
Pacific Maritime,Treed Coniferous,0.900739283504542
Pacific Maritime,Treed Mixedwood,2.5240993359695e-02
Prairies,Non-treed,0.18556007293724
Prairies,Treed Broadleaf,0.759770316947716
Prairies,Treed Coniferous,3.88486839741257e-02
Prairies,Treed Mixedwood,1.58209261409184e-02
Taiga Cordillera,Non-treed,2.28313291980824e-02
Taiga Cordillera,Treed Broadleaf,2.46374415736162e-02
Taiga Cordillera,Treed Coniferous,0.899802091709071
Taiga Cordillera,Treed Mixedwood,5.27291375192307e-02
Taiga Plains,Non-treed,6.02157863394936e-03
Taiga Plains,Treed Broadleaf,0.10872384956682
Taiga Plains,Treed Coniferous,0.778591468966985
Taiga Plains,Treed Mixedwood,0.106663102832245
Taiga Shield,Non-treed,9.05905728221069e-02
Taiga Shield,Treed Broadleaf,2.58933091451084e-02
Taiga Shield,Treed Coniferous,0.851793610807788
Taiga Shield,Treed Mixedwood,3.1722507224997e-02
