Terrestrial ecozone,Land use,"Area (1,000 hectares)"
Canada,Agriculture,60201.377999999997
Canada,Conservation,93920.503
Canada,Forestry,265354.16200000001
Canada,Industrial,3484.329
Canada,Infrastructure,4051.564
Canada,National Defence,2276.8719999999998
Canada,Other,None
Canada,Recreation,42047.872000000003
Canada,Settlement,4609.7529999999997
Canada,Unknown,171711.906
Atlantic Maritime,Agriculture,1444.771
Atlantic Maritime,Conservation,1699.632
Atlantic Maritime,Forestry,14715.35
Atlantic Maritime,Industrial,46.275
Atlantic Maritime,Infrastructure,532.119
Atlantic Maritime,National Defence,71.986999999999995
Atlantic Maritime,Other,None
Atlantic Maritime,Recreation,237.779
Atlantic Maritime,Settlement,290.27800000000002
Atlantic Maritime,Unknown,601.887
Boreal Cordillera,Agriculture,2E-3
Boreal Cordillera,Conservation,6268.943
Boreal Cordillera,Forestry,1037.991
Boreal Cordillera,Industrial,192.096
Boreal Cordillera,Infrastructure,34.109
Boreal Cordillera,National Defence,None
Boreal Cordillera,Other,None
Boreal Cordillera,Recreation,7959.6390000000001
Boreal Cordillera,Settlement,41.292999999999999
Boreal Cordillera,Unknown,30412.483
Boreal Plains,Agriculture,12701.885
Boreal Plains,Conservation,7121.615
Boreal Plains,Forestry,39124.506000000001
Boreal Plains,Industrial,724.898
Boreal Plains,Infrastructure,408.335
Boreal Plains,National Defence,1053.425
Boreal Plains,Other,None
Boreal Plains,Recreation,1632.3920000000001
Boreal Plains,Settlement,998.83100000000002
Boreal Plains,Unknown,3352.225
Boreal Shield,Agriculture,1081.1400000000001
Boreal Shield,Conservation,31158.032
Boreal Shield,Forestry,112279.499
Boreal Shield,Industrial,1483.741
Boreal Shield,Infrastructure,1933.982
Boreal Shield,National Defence,373.173
Boreal Shield,Other,None
Boreal Shield,Recreation,4962.7650000000003
Boreal Shield,Settlement,1201.413
Boreal Shield,Unknown,9348.177
Hudson Plains,Agriculture,1.2869999999999999
Hudson Plains,Conservation,20942.856
Hudson Plains,Forestry,12916.790999999999
Hudson Plains,Industrial,31.199
Hudson Plains,Infrastructure,14.832
Hudson Plains,National Defence,None
Hudson Plains,Other,None
Hudson Plains,Recreation,None
Hudson Plains,Settlement,194.173
Hudson Plains,Unknown,451.261
Mixedwood Plains,Agriculture,5911.5510000000004
Mixedwood Plains,Conservation,366.79
Mixedwood Plains,Forestry,3382.05
Mixedwood Plains,Industrial,45.591
Mixedwood Plains,Infrastructure,579.945
Mixedwood Plains,National Defence,2.3420000000000001
Mixedwood Plains,Other,None
Mixedwood Plains,Recreation,49.604999999999997
Mixedwood Plains,Settlement,589.875
Mixedwood Plains,Unknown,87.219
Montane Cordillera,Agriculture,1248.838
Montane Cordillera,Conservation,9876.381
Montane Cordillera,Forestry,18032.223999999998
Montane Cordillera,Industrial,48.189
Montane Cordillera,Infrastructure,97.759
Montane Cordillera,National Defence,6.4349999999999996
Montane Cordillera,Other,None
Montane Cordillera,Recreation,13267.022999999999
Montane Cordillera,Settlement,206.44800000000001
Montane Cordillera,Unknown,4701.55
Pacific Maritime,Agriculture,241.62799999999999
Pacific Maritime,Conservation,3179.714
Pacific Maritime,Forestry,7043.9750000000004
Pacific Maritime,Industrial,4.675
Pacific Maritime,Infrastructure,47.475
Pacific Maritime,National Defence,None
Pacific Maritime,Other,None
Pacific Maritime,Recreation,8013.6450000000004
Pacific Maritime,Settlement,124.90300000000001
Pacific Maritime,Unknown,1691.86
Prairies,Agriculture,37561.125999999997
Prairies,Conservation,1731.172
Prairies,Forestry,1342.829
Prairies,Industrial,740.328
Prairies,Infrastructure,358.66
Prairies,National Defence,403.86599999999999
Prairies,Other,None
Prairies,Recreation,10.397
Prairies,Settlement,932.17600000000004
Prairies,Unknown,1516.51
Taiga Cordillera,Agriculture,None
Taiga Cordillera,Conservation,2441.998
Taiga Cordillera,Forestry,None
Taiga Cordillera,Industrial,4.809
Taiga Cordillera,Infrastructure,1.899
Taiga Cordillera,National Defence,None
Taiga Cordillera,Other,None
Taiga Cordillera,Recreation,407.49
Taiga Cordillera,Settlement,None
Taiga Cordillera,Unknown,23579.736
Taiga Plains,Agriculture,9.15
Taiga Plains,Conservation,1634.976
Taiga Plains,Forestry,5744.64
Taiga Plains,Industrial,6.088
Taiga Plains,Infrastructure,10.092
Taiga Plains,National Defence,None
Taiga Plains,Other,None
Taiga Plains,Recreation,5255.4359999999997
Taiga Plains,Settlement,3.9609999999999999
Taiga Plains,Unknown,44082.79
Taiga Shield,Agriculture,None
Taiga Shield,Conservation,7498.394
Taiga Shield,Forestry,49734.307000000001
Taiga Shield,Industrial,156.44
Taiga Shield,Infrastructure,32.357
Taiga Shield,National Defence,365.64400000000001
Taiga Shield,Other,None
Taiga Shield,Recreation,251.70099999999999
Taiga Shield,Settlement,26.402000000000001
Taiga Shield,Unknown,51886.208
