Terrestrial ecozone,Predominant tree genus,Percentage
Canada,Birch,3.27110097092484e-02
Canada,Cedar & other conifers,2.99788821380085e-02
Canada,Douglas-fir,3.71947379424216e-02
Canada,Fir,8.39574643048232e-02
Canada,Hemlock,6.27390420015877e-02
Canada,Larch,1.50528390689526e-02
Canada,Maple,3.03998912368596e-02
Canada,Other hardwoods,5.26647539310592e-03
Canada,Pine,0.118936062861573
Canada,Poplar,0.134968858926008
Canada,Spruce,0.440220972490731
Canada,Unclassified,2.61511836736747e-04
Canada,Unspecified conifers,5.70181094637807e-03
Canada,Unspecified hardwoods,2.61044114356471e-03
Atlantic Maritime,Birch,8.08282494889843e-02
Atlantic Maritime,Cedar & other conifers,2.52067048237472e-02
Atlantic Maritime,Fir,0.25550276426781
Atlantic Maritime,Hemlock,3.13203198062366e-03
Atlantic Maritime,Larch,8.48225770052666e-03
Atlantic Maritime,Maple,0.215223300646281
Atlantic Maritime,Other hardwoods,5.75792387838893e-03
Atlantic Maritime,Pine,2.48027214548602e-02
Atlantic Maritime,Poplar,7.12166957503736e-02
Atlantic Maritime,Spruce,0.265274053959176
Atlantic Maritime,Unclassified,1.04292717990819e-03
Atlantic Maritime,Unspecified conifers,3.29265019590872e-02
Atlantic Maritime,Unspecified hardwoods,1.0603866910233e-02
Boreal Cordillera,Birch,1.08424486316867e-02
Boreal Cordillera,Fir,0.108921700798031
Boreal Cordillera,Larch,8.11263656722257e-04
Boreal Cordillera,Pine,0.251873207783372
Boreal Cordillera,Poplar,8.30827730506146e-02
Boreal Cordillera,Spruce,0.544468606079574
Boreal Cordillera,Unclassified,0
Boreal Plains,Birch,1.38946815899648e-02
Boreal Plains,Cedar & other conifers,6.26865447092974e-06
Boreal Plains,Fir,2.70025773921116e-03
Boreal Plains,Larch,3.68027131850978e-02
Boreal Plains,Maple,5.452336355382e-04
Boreal Plains,Other hardwoods,1.69810884445852e-04
Boreal Plains,Pine,0.138989024839752
Boreal Plains,Poplar,0.423750873084264
Boreal Plains,Spruce,0.383140718476957
Boreal Plains,Unclassified,0
Boreal Plains,Unspecified hardwoods,4.17910298061983e-07
Boreal Shield,Birch,7.81667973933905e-02
Boreal Shield,Cedar & other conifers,6.4360003353963e-03
Boreal Shield,Fir,7.19135668158614e-02
Boreal Shield,Hemlock,1.95952106256945e-03
Boreal Shield,Larch,1.36310293942311e-02
Boreal Shield,Maple,0.06020399029615
Boreal Shield,Other hardwoods,5.60083523585825e-03
Boreal Shield,Pine,0.118014284061564
Boreal Shield,Poplar,0.122303394260124
Boreal Shield,Spruce,0.499073450021528
Boreal Shield,Unclassified,6.57631486495523e-04
Boreal Shield,Unspecified conifers,1.52267799089123e-02
Boreal Shield,Unspecified hardwoods,6.81271972791859e-03
Hudson Plains,Birch,4.35179456627178e-03
Hudson Plains,Cedar & other conifers,3.62808673800631e-04
Hudson Plains,Fir,4.59621304125326e-03
Hudson Plains,Larch,6.42858779588002e-02
Hudson Plains,Other hardwoods,1.90951933579279e-05
Hudson Plains,Pine,2.90800699647885e-02
Hudson Plains,Poplar,1.65116136966003e-02
Hudson Plains,Spruce,0.88056911314284
Hudson Plains,Unclassified,0
Hudson Plains,Unspecified conifers,2.23413762287757e-04
Mixedwood Plains,Birch,2.38124757373311e-02
Mixedwood Plains,Cedar & other conifers,9.6339309486983e-02
Mixedwood Plains,Fir,4.1509234549634e-02
Mixedwood Plains,Hemlock,1.2944832534232e-02
Mixedwood Plains,Larch,1.30586511277187e-02
Mixedwood Plains,Maple,0.429193656239393
Mixedwood Plains,Other hardwoods,0.137620906849644
Mixedwood Plains,Pine,6.97423431589944e-02
Mixedwood Plains,Poplar,0.116190491675999
Mixedwood Plains,Spruce,2.02251575676154e-02
Mixedwood Plains,Unclassified,3.5913831194831e-03
Mixedwood Plains,Unspecified conifers,7.92461957151364e-03
Mixedwood Plains,Unspecified hardwoods,2.78469383814589e-02
Montane Cordillera,Birch,9.60010983913692e-03
Montane Cordillera,Cedar & other conifers,3.00791608214707e-02
Montane Cordillera,Douglas-fir,0.142507698966473
Montane Cordillera,Fir,0.186929777479356
Montane Cordillera,Hemlock,5.64447854974723e-02
Montane Cordillera,Larch,1.51765854557654e-02
Montane Cordillera,Other hardwoods,6.15964338015838e-05
Montane Cordillera,Pine,0.25488862918077
Montane Cordillera,Poplar,4.85547995494526e-02
Montane Cordillera,Spruce,0.255756856776301
Montane Cordillera,Unclassified,0
Pacific Maritime,Birch,2.97818054397863e-03
Pacific Maritime,Cedar & other conifers,0.193381118565243
Pacific Maritime,Douglas-fir,0.122169341048369
Pacific Maritime,Fir,0.127858811755893
Pacific Maritime,Hemlock,0.479807659322871
Pacific Maritime,Maple,3.0757050907993e-03
Pacific Maritime,Other hardwoods,1.83786175904468e-02
Pacific Maritime,Pine,1.07530242038683e-02
Pacific Maritime,Poplar,1.42075124792805e-02
Pacific Maritime,Spruce,2.73880537638638e-02
Pacific Maritime,Unclassified,0
Pacific Maritime,Unspecified hardwoods,1.97563538679079e-06
Prairies,Birch,3.22076762868194e-03
Prairies,Douglas-fir,9.00029753049688e-04
Prairies,Fir,2.23147872656947e-04
Prairies,Larch,4.239809580482e-04
Prairies,Maple,2.64802142219577e-03
Prairies,Other hardwoods,1.93394822969354e-04
Prairies,Pine,2.82356441535257e-02
Prairies,Poplar,0.929425766141029
Prairies,Spruce,3.47292472478429e-02
Prairies,Unclassified,0
Taiga Cordillera,Birch,2.06137119185895e-02
Taiga Cordillera,Fir,4.48465720203526e-02
Taiga Cordillera,Larch,2.86143617175579e-03
Taiga Cordillera,Pine,8.81289850952362e-03
Taiga Cordillera,Poplar,2.80109769611455e-03
Taiga Cordillera,Spruce,0.920064283683664
Taiga Cordillera,Unclassified,0
