Year,Jurisdiction,Forest Product,Unit of measure,Value
2000,Canada,Lumber - hardwood,Cubic Metres,1572000
2000,Canada,Lumber - softwood,Cubic Metres,75213000
2000,Canada,Newsprint,Tonnes,9221000
2000,Canada,Printing and writing paper,Tonnes,6313000
2000,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9685231
2000,Canada,Wood pulp,Tonnes,26871000
2001,Canada,Lumber - hardwood,Cubic Metres,1598000
2001,Canada,Lumber - softwood,Cubic Metres,72036000
2001,Canada,Newsprint,Tonnes,8373000
2001,Canada,Printing and writing paper,Tonnes,6120000
2001,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9989636
2001,Canada,Wood pulp,Tonnes,24869000
2002,Canada,Lumber - hardwood,Cubic Metres,1851000
2002,Canada,Lumber - softwood,Cubic Metres,77953000
2002,Canada,Newsprint,Tonnes,8455000
2002,Canada,Printing and writing paper,Tonnes,6331000
2002,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,10380762
2002,Canada,Wood pulp,Tonnes,25521000
2003,Canada,Lumber - hardwood,Cubic Metres,1840400
2003,Canada,Lumber - softwood,Cubic Metres,77530800
2003,Canada,Newsprint,Tonnes,8487000
2003,Canada,Printing and writing paper,Tonnes,6456000
2003,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,11090452
2003,Canada,Wood pulp,Tonnes,25963000
2004,Canada,Lumber - hardwood,Cubic Metres,2001900
2004,Canada,Lumber - softwood,Cubic Metres,82759300
2004,Canada,Newsprint,Tonnes,8180000
2004,Canada,Printing and writing paper,Tonnes,7020000
2004,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,12168260
2004,Canada,Wood pulp,Tonnes,26238000
2005,Canada,Lumber - hardwood,Cubic Metres,2015800
2005,Canada,Lumber - softwood,Cubic Metres,81142300
2005,Canada,Newsprint,Tonnes,7770000
2005,Canada,Printing and writing paper,Tonnes,6706000
2005,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,12216929
2005,Canada,Wood pulp,Tonnes,25310000
2006,Canada,Lumber - hardwood,Cubic Metres,2048800
2006,Canada,Lumber - softwood,Cubic Metres,79172900
2006,Canada,Newsprint,Tonnes,7122000
2006,Canada,Printing and writing paper,Tonnes,6106000
2006,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,12393025
2006,Canada,Wood pulp,Tonnes,23440000
2007,Canada,Lumber - hardwood,Cubic Metres,1858200
2007,Canada,Lumber - softwood,Cubic Metres,70549200
2007,Canada,Newsprint,Tonnes,6640000
2007,Canada,Printing and writing paper,Tonnes,5948000
2007,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,10180775
2007,Canada,Wood pulp,Tonnes,22106000
2008,Canada,Lumber - hardwood,Cubic Metres,1565700
2008,Canada,Lumber - softwood,Cubic Metres,56002800
2008,Canada,Newsprint,Tonnes,5993000
2008,Canada,Printing and writing paper,Tonnes,5266000
2008,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,6611088
2008,Canada,Wood pulp,Tonnes,20366000
2009,Canada,Lumber - hardwood,Cubic Metres,1219000
2009,Canada,Lumber - softwood,Cubic Metres,44232500
2009,Canada,Newsprint,Tonnes,4378000
2009,Canada,Printing and writing paper,Tonnes,4429000
2009,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,5385501
2009,Canada,Wood pulp,Tonnes,17095000
2010,Canada,Lumber - hardwood,Cubic Metres,1524000
2010,Canada,Lumber - softwood,Cubic Metres,51915400
2010,Canada,Newsprint,Tonnes,4639000
2010,Canada,Printing and writing paper,Tonnes,4070000
2010,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,5992543
2010,Canada,Wood pulp,Tonnes,18536000
2011,Canada,Lumber - hardwood,Cubic Metres,1471100
2011,Canada,Lumber - softwood,Cubic Metres,51935000
2011,Canada,Newsprint,Tonnes,4382000
2011,Canada,Printing and writing paper,Tonnes,3774000
2011,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,6247394
2011,Canada,Wood pulp,Tonnes,18287000
2012,Canada,Lumber - hardwood,Cubic Metres,1276300
2012,Canada,Lumber - softwood,Cubic Metres,54544200
2012,Canada,Newsprint,Tonnes,3874000
2012,Canada,Printing and writing paper,Tonnes,3311000
2012,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,6695153
2012,Canada,Wood pulp,Tonnes,17149000
2013,Canada,Lumber - hardwood,Cubic Metres,1388600
2013,Canada,Lumber - softwood,Cubic Metres,57510100
2013,Canada,Newsprint,Tonnes,3972000
2013,Canada,Printing and writing paper,Tonnes,3466000
2013,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,7132294
2013,Canada,Wood pulp,Tonnes,17254000
2014,Canada,Lumber - hardwood,Cubic Metres,1504000
2014,Canada,Lumber - softwood,Cubic Metres,57776100
2014,Canada,Newsprint,Tonnes,4014000
2014,Canada,Printing and writing paper,Tonnes,3255000
2014,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,7687126
2014,Canada,Wood pulp,Tonnes,16960000
2015,Canada,Lumber - hardwood,Cubic Metres,1724400
2015,Canada,Lumber - softwood,Cubic Metres,62719400
2015,Canada,Newsprint,Tonnes,3505000
2015,Canada,Printing and writing paper,Tonnes,3036000
2015,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,7966764
2015,Canada,Wood pulp,Tonnes,16551000
2016,Canada,Lumber - hardwood,Cubic Metres,1600900
2016,Canada,Lumber - softwood,Cubic Metres,65031400
2016,Canada,Newsprint,Tonnes,3342000
2016,Canada,Printing and writing paper,Tonnes,2995000
2016,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8728664
2016,Canada,Wood pulp,Tonnes,16508000
2017,Canada,Lumber - hardwood,Cubic Metres,1488800
2017,Canada,Lumber - softwood,Cubic Metres,65129100
2017,Canada,Newsprint,Tonnes,3054000
2017,Canada,Printing and writing paper,Tonnes,2975000
2017,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8917148
2017,Canada,Wood pulp,Tonnes,16297000
2018,Canada,Glue-laminated timber,Cubic Metres,19910
2018,Canada,I-Joist,Cubic Metres,223084
2018,Canada,Laminated veneer lumber,Cubic Metres,6194
2018,Canada,Lumber - hardwood,Cubic Metres,1250900
2018,Canada,Lumber - softwood,Cubic Metres,64378500
2018,Canada,Newsprint,Tonnes,3001000
2018,Canada,Printing and writing paper,Tonnes,3053000
2018,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9171115
2018,Canada,Total Oriented Strandboard,Cubic Metres,7428745
2018,Canada,Total Plywood,Cubic Metres,1742370
2018,Canada,Wood pulp,Tonnes,16183000
