Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2000,Canada,Primary Wood Products,705890364,738744021,32853657
2000,Canada,Pulp and Paper Products,6832099423,27865092589,21032993166
2000,Canada,Wood-Fabricated Materials,2432885441,19116818624,16683933183
2001,Canada,Primary Wood Products,714633900,769354946,54721046
2001,Canada,Pulp and Paper Products,6854267794,25747593394,18893325600
2001,Canada,Wood-Fabricated Materials,2296866668,18259156897,15962290229
2002,Canada,Primary Wood Products,701428489,913360680,211932191
2002,Canada,Pulp and Paper Products,7086824258,24288088901,17201264643
2002,Canada,Wood-Fabricated Materials,2677864757,18002925220,15325060463
2003,Canada,Primary Wood Products,632384546,824809278,192424732
2003,Canada,Pulp and Paper Products,6699913481,22110080103,15410166622
2003,Canada,Wood-Fabricated Materials,2677328117,16854552522,14177224405
2004,Canada,Primary Wood Products,649874673,808976688,159102015
2004,Canada,Pulp and Paper Products,6700861502,22806935015,16106073513
2004,Canada,Wood-Fabricated Materials,2926896896,21172592186,18245695290
2005,Canada,Primary Wood Products,628691679,942695609,314003930
2005,Canada,Pulp and Paper Products,6626196017,21843674303,15217478286
2005,Canada,Wood-Fabricated Materials,2907547019,19335403331,16427856312
2006,Canada,Primary Wood Products,583728465,918073266,334344801
2006,Canada,Pulp and Paper Products,6703927840,20937728277,14233800437
2006,Canada,Wood-Fabricated Materials,2976258149,16480290135,13504031986
2007,Canada,Primary Wood Products,553062912,799602667,246539755
2007,Canada,Pulp and Paper Products,6701904446,20208564795,13506660349
2007,Canada,Wood-Fabricated Materials,2936616181,12720108779,9783492598
2008,Canada,Primary Wood Products,508289050,696344790,188055740
2008,Canada,Pulp and Paper Products,6809491258,20359605102,13550113844
2008,Canada,Wood-Fabricated Materials,2808757209,9138862845,6330105636
2009,Canada,Primary Wood Products,487345461,654732086,167386625
2009,Canada,Pulp and Paper Products,6332453314,16059767237,9727313923
2009,Canada,Wood-Fabricated Materials,2394487091,6790537158,4396050067
2010,Canada,Primary Wood Products,448949354,844658429,395709075
2010,Canada,Pulp and Paper Products,6293823387,17167343788,10873520401
2010,Canada,Wood-Fabricated Materials,2679099966,7898887883,5219787917
2011,Canada,Primary Wood Products,391915585,1057493153,665577568
2011,Canada,Pulp and Paper Products,6187759745,17298164087,11110404342
2011,Canada,Wood-Fabricated Materials,2558866654,8014465626,5455598972
2012,Canada,Primary Wood Products,419796922,1030956798,611159876
2012,Canada,Pulp and Paper Products,5768194991,15219292815,9451097824
2012,Canada,Wood-Fabricated Materials,2681365567,8975389026,6294023459
2013,Canada,Primary Wood Products,460969015,1273094650,812125635
2013,Canada,Pulp and Paper Products,6080415464,15809268734,9728853270
2013,Canada,Wood-Fabricated Materials,2805737511,11430716206,8624978695
2014,Canada,Primary Wood Products,498872783,1302259953,803387170
2014,Canada,Pulp and Paper Products,6529461385,16990346329,10460884944
2014,Canada,Wood-Fabricated Materials,3057639468,12666388487,9608749019
2015,Canada,Primary Wood Products,595871038,1205862076,609991038
2015,Canada,Pulp and Paper Products,7329554313,17907324191,10577769878
2015,Canada,Wood-Fabricated Materials,3249887693,13724593669,10474705976
2016,Canada,Primary Wood Products,527001296,1443412075,916410779
2016,Canada,Pulp and Paper Products,7350681460,17085549115,9734867655
2016,Canada,Wood-Fabricated Materials,3365262192,16013129905,12647867713
2017,Canada,Primary Wood Products,496704705,1449317830,952613125
2017,Canada,Pulp and Paper Products,7581015353,17613991327,10032975974
2017,Canada,Wood-Fabricated Materials,3317555564,16825383746,13507828182
2018,Canada,Primary Wood Products,588946118,1488964205,900018087
2018,Canada,Pulp and Paper Products,7887195796,20061094320,12173898524
2018,Canada,Wood-Fabricated Materials,3405951158,16953961064,13548009906
2019,Canada,Primary Wood Products,580081544,1423361486,843279942
2019,Canada,Pulp and Paper Products,7947262901,17714257540,9766994639
2019,Canada,Wood-Fabricated Materials,3312161542,14025406649,10713245107
2020,Canada,Primary Wood Products,536538538,1118611074,582072536
2020,Canada,Pulp and Paper Products,7763543036,15277502757,7513959721
2020,Canada,Wood-Fabricated Materials,3173453068,16879002535,13705549467
2021,Canada,Primary Wood Products,538461202,1351959257,813498055
2021,Canada,Pulp and Paper Products,8117724743,16709983929,8592259186
2021,Canada,Wood-Fabricated Materials,4294357968,26906723043,22612365075
2022,Canada,Primary Wood Products,552636197,1570336761,1017700564
2022,Canada,Pulp and Paper Products,10023644896,19879229589,9855584693
2022,Canada,Wood-Fabricated Materials,4523218928,24122220953,19599002025
2023,Canada,Primary Wood Products,609228615,1474773767,865545152
2023,Canada,Pulp and Paper Products,9764775477,18162505479,8397730002
2023,Canada,Wood-Fabricated Materials,3879950408,16574905579,12694955171
