Année,Mesure,Valeur
2000,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",1
2000,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2001,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",1
2001,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2002,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",1
2002,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2003,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.99
2003,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2004,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.97
2004,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2005,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.95
2005,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2006,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.92
2006,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2007,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.88
2007,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2008,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.85
2008,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2009,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.8
2009,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2010,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.74
2010,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",15
2011,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.69
2011,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2012,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.64
2012,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",15
2013,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.59
2013,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2014,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.54
2014,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2015,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.5
2015,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2016,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.44
2016,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2017,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.39
2017,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2018,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.33
2018,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2019,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.3
2019,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2020,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.24
2020,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2021,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.18
2021,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2022,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.13
2022,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
