Année,Mesure,Valeur
2000,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",70.1855690751808
2000,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",-97
2000,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",-26.8144309248192
2000,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",201.666666666667
2001,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",47.2800918399927
2001,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",-60
2001,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",-12.7199081600073
2001,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",183.333333333333
2002,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",59.2051268078686
2002,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",56
2002,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",115.205126807869
2002,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",194.333333333333
2003,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",52.4555463490424
2003,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",27
2003,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",79.4555463490424
2003,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",179.666666666667
2004,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",79.8934758110991
2004,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",100
2004,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",179.893475811099
2004,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",205.333333333333
2005,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",82.7568432211954
2005,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",17
2005,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",99.7568432211954
2005,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",198
2006,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",66.4158090869389
2006,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",46
2006,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",112.415809086939
