Année,Juridiction,Industrie,"Nombre d'emplois"
2000,Canada,,61600
2000,Canada,,106945
2000,Canada,,22720
2000,Canada,Fabrication de produits en bois,158705
2000,Alberta,,2920
2000,Alberta,,4505
2000,Alberta,,1895
2000,Alberta,Fabrication de produits en bois,11400
2000,Colombie-Britannique,,23960
2000,Colombie-Britannique,,21900
2000,Colombie-Britannique,,9800
2000,Colombie-Britannique,Fabrication de produits en bois,46110
2000,Manitoba,,700
2000,Manitoba,,2635
2000,Manitoba,,605
2000,Manitoba,Fabrication de produits en bois,5280
2000,Nouveau-Brunswick,,5050
2000,Nouveau-Brunswick,,3790
2000,Nouveau-Brunswick,,1320
2000,Nouveau-Brunswick,Fabrication de produits en bois,6470
2000,Terre-Neuve-et-Labrador,,1260
2000,Terre-Neuve-et-Labrador,,1440
2000,Terre-Neuve-et-Labrador,,280
2000,Terre-Neuve-et-Labrador,Fabrication de produits en bois,650
2000,Territoires du Nord-Ouest,,50
2000,Territoires du Nord-Ouest,,0
2000,Territoires du Nord-Ouest,,175
2000,Territoires du Nord-Ouest,Fabrication de produits en bois,20
2000,Nouvelle-Écosse,,2360
2000,Nouvelle-Écosse,,2850
2000,Nouvelle-Écosse,,655
2000,Nouvelle-Écosse,Fabrication de produits en bois,3915
2000,Nunavut,,0
2000,Nunavut,,0
2000,Nunavut,,0
2000,Nunavut,Fabrication de produits en bois,0
2000,Ontario,,9785
2000,Ontario,,35015
2000,Ontario,,2355
2000,Ontario,Fabrication de produits en bois,37040
2000,Île-du-Prince-Édouard,,120
2000,Île-du-Prince-Édouard,,65
2000,Île-du-Prince-Édouard,,65
2000,Île-du-Prince-Édouard,Fabrication de produits en bois,220
2000,Québec,,14375
2000,Québec,,33240
2000,Québec,,4230
2000,Québec,Fabrication de produits en bois,45355
2000,Saskatchewan,,965
2000,Saskatchewan,,1505
2000,Saskatchewan,,1330
2000,Saskatchewan,Fabrication de produits en bois,2195
2000,Yukon,,55
2000,Yukon,,0
2000,Yukon,,10
2000,Yukon,Fabrication de produits en bois,50
2001,Canada,,58715
2001,Canada,,103535
2001,Canada,,21240
2001,Canada,Fabrication de produits en bois,149975
2001,Alberta,,3095
2001,Alberta,,3515
2001,Alberta,,1745
