Année,Juridiction,Industrie,Valeur (1 000 dollars)
2012,Canada,Enregistrement,1363229
2012,Canada,,3358406
2012,Canada,Fabrication de produits en bois,3936269
2012,Alberta,Enregistrement,148553
2012,Alberta,,211060
2012,Alberta,Fabrication de produits en bois,596256
2012,Colombie-Britannique,Enregistrement,599458
2012,Colombie-Britannique,,600462
2012,Colombie-Britannique,Fabrication de produits en bois,1266912
2012,Manitoba,Enregistrement,9852
2012,Manitoba,,0
2012,Manitoba,Fabrication de produits en bois,92567
2012,Nouveau-Brunswick,Enregistrement,77019
2012,Nouveau-Brunswick,,0
2012,Nouveau-Brunswick,Fabrication de produits en bois,157022
2012,Terre-Neuve-et-Labrador,Enregistrement,14694
2012,Terre-Neuve-et-Labrador,,0
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,13108
2012,Territoires du Nord-Ouest,Enregistrement,0
2012,Territoires du Nord-Ouest,,0
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2012,Nouvelle-Écosse,Enregistrement,28365
2012,Nouvelle-Écosse,,0
2012,Nouvelle-Écosse,Fabrication de produits en bois,67379
2012,Nunavut,Enregistrement,0
2012,Nunavut,,0
2012,Nunavut,Fabrication de produits en bois,0
2012,Ontario,Enregistrement,153045
2012,Ontario,,1147367
2012,Ontario,Fabrication de produits en bois,647677
2012,Île-du-Prince-Édouard,Enregistrement,0
2012,Île-du-Prince-Édouard,,0
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,3559
2012,Québec,Enregistrement,315905
2012,Québec,,1036310
2012,Québec,Fabrication de produits en bois,1015786
2012,Saskatchewan,Enregistrement,15560
2012,Saskatchewan,,0
2012,Saskatchewan,Fabrication de produits en bois,74937
2012,Yukon,Enregistrement,0
2012,Yukon,,0
2012,Yukon,Fabrication de produits en bois,0
2013,Canada,Enregistrement,1358577
2013,Canada,,3235468
2013,Canada,Fabrication de produits en bois,4176150
2013,Alberta,Enregistrement,165056
2013,Alberta,,0
2013,Alberta,Fabrication de produits en bois,649749
2013,Colombie-Britannique,Enregistrement,613919
2013,Colombie-Britannique,,548844
2013,Colombie-Britannique,Fabrication de produits en bois,1353677
2013,Manitoba,Enregistrement,14160
2013,Manitoba,,65251
2013,Manitoba,Fabrication de produits en bois,0
2013,Nouveau-Brunswick,Enregistrement,72195
2013,Nouveau-Brunswick,,0
2013,Nouveau-Brunswick,Fabrication de produits en bois,0
2013,Terre-Neuve-et-Labrador,Enregistrement,0
2013,Terre-Neuve-et-Labrador,,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,12467
2013,Territoires du Nord-Ouest,Enregistrement,0
2013,Territoires du Nord-Ouest,,0
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2013,Nouvelle-Écosse,Enregistrement,27824
2013,Nouvelle-Écosse,,0
2013,Nouvelle-Écosse,Fabrication de produits en bois,0
2013,Nunavut,Enregistrement,0
2013,Nunavut,,0
2013,Nunavut,Fabrication de produits en bois,0
2013,Ontario,Enregistrement,150124
2013,Ontario,,1112664
2013,Ontario,Fabrication de produits en bois,678588
2013,Île-du-Prince-Édouard,Enregistrement,928
2013,Île-du-Prince-Édouard,,0
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2013,Québec,Enregistrement,276010
2013,Québec,,982194
2013,Québec,Fabrication de produits en bois,1050512
2013,Saskatchewan,Enregistrement,19346
2013,Saskatchewan,,0
2013,Saskatchewan,Fabrication de produits en bois,0
2013,Yukon,Enregistrement,0
2013,Yukon,,0
2013,Yukon,Fabrication de produits en bois,0
2014,Canada,Enregistrement,1503019
2014,Canada,,3640846
2014,Canada,Fabrication de produits en bois,4406329
2014,Alberta,Enregistrement,176619
2014,Alberta,,0
2014,Alberta,Fabrication de produits en bois,663296
2014,Colombie-Britannique,Enregistrement,721947
2014,Colombie-Britannique,,670906
2014,Colombie-Britannique,Fabrication de produits en bois,1454371
2014,Manitoba,Enregistrement,14314
2014,Manitoba,,0
2014,Manitoba,Fabrication de produits en bois,0
2014,Nouveau-Brunswick,Enregistrement,89815
2014,Nouveau-Brunswick,,0
2014,Nouveau-Brunswick,Fabrication de produits en bois,175063
2014,Terre-Neuve-et-Labrador,Enregistrement,21832
2014,Terre-Neuve-et-Labrador,,0
2014,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2014,Territoires du Nord-Ouest,Enregistrement,0
2014,Territoires du Nord-Ouest,,0
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2014,Nouvelle-Écosse,Enregistrement,28874
2014,Nouvelle-Écosse,,0
2014,Nouvelle-Écosse,Fabrication de produits en bois,0
2014,Nunavut,Enregistrement,2
2014,Nunavut,,0
2014,Nunavut,Fabrication de produits en bois,0
2014,Ontario,Enregistrement,150666
2014,Ontario,,1342384
2014,Ontario,Fabrication de produits en bois,0
2014,Île-du-Prince-Édouard,Enregistrement,1016
2014,Île-du-Prince-Édouard,,0
2014,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2014,Québec,Enregistrement,279800
2014,Québec,,999209
2014,Québec,Fabrication de produits en bois,1109587
2014,Saskatchewan,Enregistrement,17933
2014,Saskatchewan,,0
2014,Saskatchewan,Fabrication de produits en bois,0
2014,Yukon,Enregistrement,193
2014,Yukon,,0
2014,Yukon,Fabrication de produits en bois,929
2015,Canada,Enregistrement,1577158
2015,Canada,,3459083
2015,Canada,Fabrication de produits en bois,4671347
2015,Alberta,Enregistrement,202502
2015,Alberta,,211738
2015,Alberta,Fabrication de produits en bois,606069
2015,Colombie-Britannique,Enregistrement,703380
2015,Colombie-Britannique,,603388
2015,Colombie-Britannique,Fabrication de produits en bois,1524759
2015,Manitoba,Enregistrement,14183
2015,Manitoba,,0
2015,Manitoba,Fabrication de produits en bois,98253
2015,Nouveau-Brunswick,Enregistrement,97796
2015,Nouveau-Brunswick,,0
2015,Nouveau-Brunswick,Fabrication de produits en bois,0
2015,Terre-Neuve-et-Labrador,Enregistrement,26354
2015,Terre-Neuve-et-Labrador,,0
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2015,Territoires du Nord-Ouest,Enregistrement,10
2015,Territoires du Nord-Ouest,,0
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2015,Nouvelle-Écosse,Enregistrement,31920
2015,Nouvelle-Écosse,,0
2015,Nouvelle-Écosse,Fabrication de produits en bois,0
2015,Nunavut,Enregistrement,3
2015,Nunavut,,0
2015,Nunavut,Fabrication de produits en bois,0
2015,Ontario,Enregistrement,197132
2015,Ontario,,1144987
2015,Ontario,Fabrication de produits en bois,846932
2015,Île-du-Prince-Édouard,Enregistrement,1617
2015,Île-du-Prince-Édouard,,0
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2015,Québec,Enregistrement,281890
2015,Québec,,1050651
2015,Québec,Fabrication de produits en bois,1208074
2015,Saskatchewan,Enregistrement,20207
2015,Saskatchewan,,0
2015,Saskatchewan,Fabrication de produits en bois,98299
2015,Yukon,Enregistrement,164
2015,Yukon,,0
2015,Yukon,Fabrication de produits en bois,0
2016,Canada,Enregistrement,1588646
2016,Canada,,3410466
2016,Canada,Fabrication de produits en bois,4860041
2016,Alberta,Enregistrement,202463
2016,Alberta,,190263
2016,Alberta,Fabrication de produits en bois,624184
2016,Colombie-Britannique,Enregistrement,728219
2016,Colombie-Britannique,,589908
2016,Colombie-Britannique,Fabrication de produits en bois,1560756
2016,Manitoba,Enregistrement,9922
2016,Manitoba,,0
2016,Manitoba,Fabrication de produits en bois,116733
2016,Nouveau-Brunswick,Enregistrement,104610
2016,Nouveau-Brunswick,,236792
2016,Nouveau-Brunswick,Fabrication de produits en bois,0
2016,Terre-Neuve-et-Labrador,Enregistrement,23356
2016,Terre-Neuve-et-Labrador,,0
2016,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2016,Territoires du Nord-Ouest,Enregistrement,15
2016,Territoires du Nord-Ouest,,0
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2016,Nouvelle-Écosse,Enregistrement,30150
2016,Nouvelle-Écosse,,0
2016,Nouvelle-Écosse,Fabrication de produits en bois,0
2016,Nunavut,Enregistrement,0
2016,Nunavut,,0
2016,Nunavut,Fabrication de produits en bois,0
2016,Ontario,Enregistrement,175518
2016,Ontario,,1177512
2016,Ontario,Fabrication de produits en bois,880700
2016,Île-du-Prince-Édouard,Enregistrement,1895
2016,Île-du-Prince-Édouard,,0
2016,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2016,Québec,Enregistrement,290321
2016,Québec,,1013079
2016,Québec,Fabrication de produits en bois,1267841
2016,Saskatchewan,Enregistrement,22007
2016,Saskatchewan,,0
2016,Saskatchewan,Fabrication de produits en bois,92194
2016,Yukon,Enregistrement,171
2016,Yukon,,0
2016,Yukon,Fabrication de produits en bois,0
2017,Canada,Enregistrement,1666370
2017,Canada,,3579361
2017,Canada,Fabrication de produits en bois,5071847
2017,Alberta,Enregistrement,183987
2017,Alberta,,239252
2017,Alberta,Fabrication de produits en bois,619343
2017,Colombie-Britannique,Enregistrement,794641
2017,Colombie-Britannique,,610118
2017,Colombie-Britannique,Fabrication de produits en bois,1637077
2017,Manitoba,Enregistrement,11407
2017,Manitoba,,0
2017,Manitoba,Fabrication de produits en bois,109173
2017,Nouveau-Brunswick,Enregistrement,101489
2017,Nouveau-Brunswick,,236791
2017,Nouveau-Brunswick,Fabrication de produits en bois,0
2017,Terre-Neuve-et-Labrador,Enregistrement,11144
2017,Terre-Neuve-et-Labrador,,0
2017,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2017,Territoires du Nord-Ouest,Enregistrement,0
2017,Territoires du Nord-Ouest,,0
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2017,Nouvelle-Écosse,Enregistrement,28052
2017,Nouvelle-Écosse,,0
2017,Nouvelle-Écosse,Fabrication de produits en bois,0
2017,Nunavut,Enregistrement,0
2017,Nunavut,,0
2017,Nunavut,Fabrication de produits en bois,0
2017,Ontario,Enregistrement,187205
2017,Ontario,,1225747
2017,Ontario,Fabrication de produits en bois,950981
2017,Île-du-Prince-Édouard,Enregistrement,1867
2017,Île-du-Prince-Édouard,,0
2017,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2017,Québec,Enregistrement,325145
2017,Québec,,1059070
2017,Québec,Fabrication de produits en bois,1334841
2017,Saskatchewan,Enregistrement,21283
2017,Saskatchewan,,0
2017,Saskatchewan,Fabrication de produits en bois,100440
2017,Yukon,Enregistrement,126
2017,Yukon,,0
2017,Yukon,Fabrication de produits en bois,0
2018,Canada,Enregistrement,1782587
2018,Canada,,3694284
2018,Canada,Fabrication de produits en bois,5328871
2018,Alberta,Enregistrement,177726
2018,Alberta,,0
2018,Alberta,Fabrication de produits en bois,685698
2018,Colombie-Britannique,Enregistrement,878159
2018,Colombie-Britannique,,624493
2018,Colombie-Britannique,Fabrication de produits en bois,1661009
2018,Manitoba,Enregistrement,11581
2018,Manitoba,,0
2018,Manitoba,Fabrication de produits en bois,107649
2018,Nouveau-Brunswick,Enregistrement,105269
2018,Nouveau-Brunswick,,237870
2018,Nouveau-Brunswick,Fabrication de produits en bois,0
2018,Terre-Neuve-et-Labrador,Enregistrement,12005
2018,Terre-Neuve-et-Labrador,,0
2018,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2018,Territoires du Nord-Ouest,Enregistrement,0
2018,Territoires du Nord-Ouest,,0
2018,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2018,Nouvelle-Écosse,Enregistrement,28746
2018,Nouvelle-Écosse,,0
2018,Nouvelle-Écosse,Fabrication de produits en bois,0
2018,Nunavut,Enregistrement,0
2018,Nunavut,,0
2018,Nunavut,Fabrication de produits en bois,0
2018,Ontario,Enregistrement,204004
2018,Ontario,,1265158
2018,Ontario,Fabrication de produits en bois,988772
2018,Île-du-Prince-Édouard,Enregistrement,1798
2018,Île-du-Prince-Édouard,,0
2018,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2018,Québec,Enregistrement,343808
2018,Québec,,1098848
2018,Québec,Fabrication de produits en bois,1469058
2018,Saskatchewan,Enregistrement,19362
2018,Saskatchewan,,0
2018,Saskatchewan,Fabrication de produits en bois,97538
2018,Yukon,Enregistrement,0
2018,Yukon,,0
2018,Yukon,Fabrication de produits en bois,0
2019,Canada,Enregistrement,1806850
2019,Canada,,3788146
2019,Canada,Fabrication de produits en bois,5207906
2019,Alberta,Enregistrement,196677
2019,Alberta,,261163
2019,Alberta,Fabrication de produits en bois,684992
2019,Colombie-Britannique,Enregistrement,874316
2019,Colombie-Britannique,,616296
2019,Colombie-Britannique,Fabrication de produits en bois,1495990
2019,Manitoba,Enregistrement,12309
2019,Manitoba,,0
2019,Manitoba,Fabrication de produits en bois,109139
2019,Nouveau-Brunswick,Enregistrement,108400
2019,Nouveau-Brunswick,,0
2019,Nouveau-Brunswick,Fabrication de produits en bois,0
2019,Terre-Neuve-et-Labrador,Enregistrement,9913
2019,Terre-Neuve-et-Labrador,,0
2019,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2019,Territoires du Nord-Ouest,Enregistrement,0
2019,Territoires du Nord-Ouest,,0
2019,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2019,Nouvelle-Écosse,Enregistrement,29260
2019,Nouvelle-Écosse,,0
2019,Nouvelle-Écosse,Fabrication de produits en bois,0
2019,Nunavut,Enregistrement,0
2019,Nunavut,,0
2019,Nunavut,Fabrication de produits en bois,0
2019,Ontario,Enregistrement,193001
2019,Ontario,,1306293
2019,Ontario,Fabrication de produits en bois,1019219
2019,Île-du-Prince-Édouard,Enregistrement,1771
2019,Île-du-Prince-Édouard,,0
2019,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2019,Québec,Enregistrement,360126
2019,Québec,,1132555
2019,Québec,Fabrication de produits en bois,1452521
2019,Saskatchewan,Enregistrement,20898
2019,Saskatchewan,,0
2019,Saskatchewan,Fabrication de produits en bois,96301
2019,Yukon,Enregistrement,0
2019,Yukon,,0
2019,Yukon,Fabrication de produits en bois,0
2020,Canada,Enregistrement,1678470
2020,Canada,,3599638
2020,Canada,Fabrication de produits en bois,5226839
2020,Alberta,Enregistrement,215743
2020,Alberta,,256961
2020,Alberta,Fabrication de produits en bois,694631
2020,Colombie-Britannique,Enregistrement,743800
2020,Colombie-Britannique,,554481
2020,Colombie-Britannique,Fabrication de produits en bois,1514688
2020,Manitoba,Enregistrement,11214
2020,Manitoba,,0
2020,Manitoba,Fabrication de produits en bois,116283
2020,Nouveau-Brunswick,Enregistrement,106367
2020,Nouveau-Brunswick,,244204
2020,Nouveau-Brunswick,Fabrication de produits en bois,0
2020,Terre-Neuve-et-Labrador,Enregistrement,9087
2020,Terre-Neuve-et-Labrador,,0
2020,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2020,Territoires du Nord-Ouest,Enregistrement,0
2020,Territoires du Nord-Ouest,,0
2020,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2020,Nouvelle-Écosse,Enregistrement,24879
2020,Nouvelle-Écosse,,0
2020,Nouvelle-Écosse,Fabrication de produits en bois,0
2020,Nunavut,Enregistrement,0
2020,Nunavut,,0
2020,Nunavut,Fabrication de produits en bois,0
2020,Ontario,Enregistrement,193487
2020,Ontario,,1227534
2020,Ontario,Fabrication de produits en bois,1006377
2020,Île-du-Prince-Édouard,Enregistrement,1800
2020,Île-du-Prince-Édouard,,0
2020,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2020,Québec,Enregistrement,352789
2020,Québec,,1108260
2020,Québec,Fabrication de produits en bois,1452831
2020,Saskatchewan,Enregistrement,19150
2020,Saskatchewan,,0
2020,Saskatchewan,Fabrication de produits en bois,93537
2020,Yukon,Enregistrement,0
2020,Yukon,,0
2020,Yukon,Fabrication de produits en bois,0
2021,Canada,Enregistrement,1795660
2021,Canada,,3805694
2021,Canada,Fabrication de produits en bois,5977729
2021,Alberta,Enregistrement,212524
2021,Alberta,,263260
2021,Alberta,Fabrication de produits en bois,739580
2021,Colombie-Britannique,Enregistrement,835410
2021,Colombie-Britannique,,575128
2021,Colombie-Britannique,Fabrication de produits en bois,1656298
2021,Manitoba,Enregistrement,11454
2021,Manitoba,,0
2021,Manitoba,Fabrication de produits en bois,123557
2021,Nouveau-Brunswick,Enregistrement,119886
2021,Nouveau-Brunswick,,0
2021,Nouveau-Brunswick,Fabrication de produits en bois,0
2021,Terre-Neuve-et-Labrador,Enregistrement,9704
2021,Terre-Neuve-et-Labrador,,0
2021,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2021,Territoires du Nord-Ouest,Enregistrement,4
2021,Territoires du Nord-Ouest,,0
2021,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2021,Nouvelle-Écosse,Enregistrement,27009
2021,Nouvelle-Écosse,,0
2021,Nouvelle-Écosse,Fabrication de produits en bois,0
2021,Nunavut,Enregistrement,0
2021,Nunavut,,0
2021,Nunavut,Fabrication de produits en bois,0
2021,Ontario,Enregistrement,186845
2021,Ontario,,1333431
2021,Ontario,Fabrication de produits en bois,1230591
2021,Île-du-Prince-Édouard,Enregistrement,2033
2021,Île-du-Prince-Édouard,,0
2021,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2021,Québec,Enregistrement,368231
2021,Québec,,1140758
2021,Québec,Fabrication de produits en bois,1718248
2021,Saskatchewan,Enregistrement,22164
2021,Saskatchewan,,0
2021,Saskatchewan,Fabrication de produits en bois,108335
2021,Yukon,Enregistrement,0
2021,Yukon,,0
2021,Yukon,Fabrication de produits en bois,0
2022,Canada,Enregistrement,1829853
2022,Canada,,4107307
2022,Canada,Fabrication de produits en bois,6253470
2022,Alberta,Enregistrement,211805
2022,Alberta,,0
2022,Alberta,Fabrication de produits en bois,775448
2022,Colombie-Britannique,Enregistrement,829314
2022,Colombie-Britannique,,0
2022,Colombie-Britannique,Fabrication de produits en bois,1629232
2022,Manitoba,Enregistrement,18242
2022,Manitoba,,0
2022,Manitoba,Fabrication de produits en bois,0
2022,Nouveau-Brunswick,Enregistrement,128130
2022,Nouveau-Brunswick,,0
2022,Nouveau-Brunswick,Fabrication de produits en bois,0
2022,Terre-Neuve-et-Labrador,Enregistrement,10437
2022,Terre-Neuve-et-Labrador,,0
2022,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2022,Territoires du Nord-Ouest,Enregistrement,0
2022,Territoires du Nord-Ouest,,0
2022,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2022,Nouvelle-Écosse,Enregistrement,28656
2022,Nouvelle-Écosse,,0
2022,Nouvelle-Écosse,Fabrication de produits en bois,0
2022,Nunavut,Enregistrement,0
2022,Nunavut,,0
2022,Nunavut,Fabrication de produits en bois,0
2022,Ontario,Enregistrement,186333
2022,Ontario,,1398705
2022,Ontario,Fabrication de produits en bois,0
2022,Île-du-Prince-Édouard,Enregistrement,2344
2022,Île-du-Prince-Édouard,,0
2022,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2022,Québec,Enregistrement,388092
2022,Québec,,1280070
2022,Québec,Fabrication de produits en bois,1904291
2022,Saskatchewan,Enregistrement,26328
2022,Saskatchewan,,0
2022,Saskatchewan,Fabrication de produits en bois,114312
2022,Yukon,Enregistrement,164
2022,Yukon,,0
2022,Yukon,Fabrication de produits en bois,0
