Année,Juridiction,Produit forestier,Unité de mesure,Valeur
2000,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1572000
2000,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,75213000
2000,Canada,Papier journal,tonnes,9221000
2000,Canada,"Papier d'impression et d'écriture",tonnes,6313000
2000,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,9685231
2000,Canada,Pâte de bois,tonnes,26871000
2001,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1598000
2001,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,72036000
2001,Canada,Papier journal,tonnes,8373000
2001,Canada,"Papier d'impression et d'écriture",tonnes,6120000
2001,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,9989636
2001,Canada,Pâte de bois,tonnes,24869000
2002,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1851000
2002,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,77953000
2002,Canada,Papier journal,tonnes,8455000
2002,Canada,"Papier d'impression et d'écriture",tonnes,6331000
2002,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,10380762
2002,Canada,Pâte de bois,tonnes,25521000
2003,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1840400
2003,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,77530800
2003,Canada,Papier journal,tonnes,8487000
2003,Canada,"Papier d'impression et d'écriture",tonnes,6456000
2003,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,11090452
2003,Canada,Pâte de bois,tonnes,25963000
2004,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,2001900
2004,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,82759300
2004,Canada,Papier journal,tonnes,8180000
2004,Canada,"Papier d'impression et d'écriture",tonnes,7020000
2004,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,12168260
2004,Canada,Pâte de bois,tonnes,26238000
2005,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,2015800
2005,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,81142300
2005,Canada,Papier journal,tonnes,7770000
2005,Canada,"Papier d'impression et d'écriture",tonnes,6706000
2005,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,12216929
2005,Canada,Pâte de bois,tonnes,25310000
2006,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,2048800
2006,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,79172900
2006,Canada,Papier journal,tonnes,7122000
2006,Canada,"Papier d'impression et d'écriture",tonnes,6106000
2006,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,12393025
2006,Canada,Pâte de bois,tonnes,23440000
2007,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1858200
2007,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,70549200
2007,Canada,Papier journal,tonnes,6640000
2007,Canada,"Papier d'impression et d'écriture",tonnes,5948000
2007,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,10180775
2007,Canada,Pâte de bois,tonnes,22106000
2008,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1565700
2008,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,56002800
2008,Canada,Papier journal,tonnes,5993000
2008,Canada,"Papier d'impression et d'écriture",tonnes,5266000
2008,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,6611088
2008,Canada,Pâte de bois,tonnes,20366000
2009,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1219000
2009,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,44232500
2009,Canada,Papier journal,tonnes,4378000
2009,Canada,"Papier d'impression et d'écriture",tonnes,4429000
2009,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,5385501
2009,Canada,Pâte de bois,tonnes,17095000
2010,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1524000
2010,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,51915400
2010,Canada,Papier journal,tonnes,4639000
2010,Canada,"Papier d'impression et d'écriture",tonnes,4070000
2010,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,5992543
2010,Canada,Pâte de bois,tonnes,18536000
2011,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1471100
2011,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,51935000
2011,Canada,Papier journal,tonnes,4382000
2011,Canada,"Papier d'impression et d'écriture",tonnes,3774000
2011,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,6247394
2011,Canada,Pâte de bois,tonnes,18287000
2012,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1276300
2012,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,54544200
2012,Canada,Papier journal,tonnes,3874000
2012,Canada,"Papier d'impression et d'écriture",tonnes,3311000
2012,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,6695153
2012,Canada,Pâte de bois,tonnes,17149000
2013,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1388600
2013,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,57510100
2013,Canada,Papier journal,tonnes,3972000
2013,Canada,"Papier d'impression et d'écriture",tonnes,3466000
2013,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,7132294
2013,Canada,Pâte de bois,tonnes,17254000
2014,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1504000
2014,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,57776100
2014,Canada,Papier journal,tonnes,4014000
2014,Canada,"Papier d'impression et d'écriture",tonnes,3255000
2014,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,7687126
2014,Canada,Pâte de bois,tonnes,16960000
2015,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1724400
2015,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,62719400
2015,Canada,Papier journal,tonnes,3505000
2015,Canada,"Papier d'impression et d'écriture",tonnes,3036000
2015,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,7966764
2015,Canada,Pâte de bois,tonnes,16551000
2016,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1600900
2016,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,65031400
2016,Canada,Papier journal,tonnes,3342000
2016,Canada,"Papier d'impression et d'écriture",tonnes,2995000
2016,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8728664
2016,Canada,Pâte de bois,tonnes,16508000
2017,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1488800
2017,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,65129100
2017,Canada,Papier journal,tonnes,3054000
2017,Canada,"Papier d'impression et d'écriture",tonnes,2975000
2017,Canada,Panneaux de construction (contreplaqués et panneaux de particules orientées),en mètre cube,8917148
2017,Canada,Pâte de bois,tonnes,16297000
2018,Canada,Bois lamellé-collé,en mètre cube,19910
2018,Canada,Solives en I,en mètre cube,223084
2018,Canada,Bois en placage stratifié,en mètre cube,6194
2018,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1250900
2018,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,64378500
2018,Canada,Papier journal,tonnes,3001000
