Année,Juridiction,Type de commerce,Groupe de produits de base,Valeur (en dollars),Produit
2000,Canada,Importations,Produits bruts du bois,448673564,Grumes
2000,Canada,Importations,Produits bruts du bois,129724565,Bois à pâte
2000,Canada,Importations,Produits de pâtes et papiers,34121619,Papier journal
2000,Canada,Importations,Produits de pâtes et papiers,2956617038,Autres papiers et cartons
2000,Canada,Importations,Produits de pâtes et papiers,230331086,Pâte de bois
2000,Canada,Importations,Produits fabriqués en bois,596809059,Bois de feuillus
2000,Canada,Importations,Produits fabriqués en bois,46084403,Panneaux de particules orientées
2000,Canada,Importations,Produits fabriqués en bois,115826381,Panneau de particules
2000,Canada,Importations,Produits fabriqués en bois,164193875,Contreplaqué
2000,Canada,Importations,Produits fabriqués en bois,237082687,"Bois d'œuvre résineux"
2000,Canada,Importations,Produits fabriqués en bois,240714896,Placage
2001,Canada,Importations,Produits bruts du bois,462480504,Grumes
2001,Canada,Importations,Produits bruts du bois,142985629,Bois à pâte
2001,Canada,Importations,Produits de pâtes et papiers,36792967,Papier journal
2001,Canada,Importations,Produits de pâtes et papiers,2955679957,Autres papiers et cartons
2001,Canada,Importations,Produits de pâtes et papiers,215607640,Pâte de bois
2001,Canada,Importations,Produits fabriqués en bois,533929502,Bois de feuillus
2001,Canada,Importations,Produits fabriqués en bois,44120506,Panneaux de particules orientées
2001,Canada,Importations,Produits fabriqués en bois,80733019,Panneau de particules
2001,Canada,Importations,Produits fabriqués en bois,155899057,Contreplaqué
2001,Canada,Importations,Produits fabriqués en bois,167064422,"Bois d'œuvre résineux"
2001,Canada,Importations,Produits fabriqués en bois,236428155,Placage
2002,Canada,Importations,Produits bruts du bois,477731716,Grumes
2002,Canada,Importations,Produits bruts du bois,114073666,Bois à pâte
2002,Canada,Importations,Produits de pâtes et papiers,38458985,Papier journal
2002,Canada,Importations,Produits de pâtes et papiers,3354860211,Autres papiers et cartons
2002,Canada,Importations,Produits de pâtes et papiers,209120578,Pâte de bois
2002,Canada,Importations,Produits fabriqués en bois,575693017,Bois de feuillus
