Année,Juridiction,Groupe de produits,Exportations,Importations,Consommation intérieure
2000,Canada,Bois de feuillus (mètres cubes),1471657,1182023,1282366
2000,Canada,Papier journal (tonnes),8723185,41207,539022
2000,Canada,"Papier d'impression et d'écriture (tonnes)",3065426,423725,3671299
2000,Canada,"Bois d'œuvre résineux (mètres cubes)",48791008,769258,27191250
2000,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",7881911,476862,2280182
2000,Canada,Pâte de bois (tonnes),11902994,273932,15241938
2001,Canada,Bois de feuillus (mètres cubes),1325462,1035702,1308240
2001,Canada,Papier journal (tonnes),8023335,47239,396904
2001,Canada,"Papier d'impression et d'écriture (tonnes)",3234228,413142,3298914
2001,Canada,"Bois d'œuvre résineux (mètres cubes)",48898654,563443,23700789
2001,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",8347327,631956,2274265
2001,Canada,Pâte de bois (tonnes),11506198,263092,13625894
2002,Canada,Bois de feuillus (mètres cubes),1436471,1109680,1524209
2002,Canada,Papier journal (tonnes),8140632,54127,368495
2002,Canada,"Papier d'impression et d'écriture (tonnes)",4477459,1035050,2888591
2002,Canada,"Bois d'œuvre résineux (mètres cubes)",49969486,527329,28510843
2002,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",8542247,580657,2419172
2002,Canada,Pâte de bois (tonnes),12117438,264449,13668011
2003,Canada,Bois de feuillus (mètres cubes),1407107,1126731,1560024
2003,Canada,Papier journal (tonnes),8288872,65309,263437
2003,Canada,"Papier d'impression et d'écriture (tonnes)",4754449,1084223,2785774
2003,Canada,"Bois d'œuvre résineux (mètres cubes)",50839163,563299,27254936
2003,Canada,"Panneaux structurels (contreplaqué et panneaux à copeaux orientés), (mètres cubes)",8950139,514527,2654840
2003,Canada,Pâte de bois (tonnes),11526208,253700,14690492
2004,Canada,Bois de feuillus (mètres cubes),1376274,2065633,2691259
2004,Canada,Papier journal (tonnes),7705379,62287,536908
2004,Canada,"Papier d'impression et d'écriture (tonnes)",5526669,1517401,3010732
